序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1,002081,金 螳 螂,10.022271156311035,4.94,302975504,13064348151.660002,13117299058.240002,2.319101572036743,227115931,092500,092500,0,4/4,4,装修装饰,20260422
2,300067,安诺其,20.0,6.06,108986949,5681151106.86,6995509930.559999,1.9183955192565918,584790333,092500,092500,0,2/2,2,化学制品,20260422
3,002194,武汉凡谷,10.018552780151367,11.86,178942008,6059200171.5,8103769682.879999,2.953228235244751,148510267,092500,092500,0,1/1,1,通信设备,20260422
4,300890,翔丰华,19.993968963623047,39.79,1130637456,4331744199.13,4740840508.28,26.454925537109375,61394418,093036,101903,1,1/1,1,电池,20260422
5,603115,海星股份,10.002053260803223,53.56,179601260,12955649824.0,12955649824.0,1.4003040790557861,111458360,093101,093101,0,2/2,2,元件,20260422
6,600736,苏州高新,9.971098899841309,7.61,903512192,8761339022.27,8761339060.32,10.459144592285156,170911262,093101,093846,1,2/2,2,房地产开,20260422
7,003018,金富科技,10.010537147521973,52.2,1035964368,12391627500.0,13572000000.0,8.42809772491455,76822740,093103,101442,14,8/5,4,包装印刷,20260422
8,002588,史丹利,9.98116683959961,11.68,480213888,10028875137.6,13454098373.119999,4.813303470611572,17382176,093200,140618,2,1/1,1,农化制品,20260422
9,002201,九鼎新材,9.978463172912598,15.32,2707913120,9222994658.0,9983067196.8,29.913997650146484,58419756,093224,142448,4,2/2,2,玻璃玻纤,20260422
10,600815,厦工股份,9.975668907165527,4.52,1193137296,8018907049.599999,8018907049.599999,14.968009948730469,11862107,093341,143123,30,1/1,1,工程机械,20260422
11,601061,中信金属,10.01540756225586,14.28,303915488,69972000000.0,69972000000.0,0.4387374222278595,91230636,093425,093425,0,1/1,1,贸易Ⅱ,20260422
12,002360,同德化工,10.015897750854492,6.92,240863043,2266453831.6,2780277851.52,10.828587532043457,97053851,093503,093503,0,1/1,1,化学制品,20260422
13,600105,永鼎股份,10.002416610717773,45.53,3153611072,66564623335.060005,66564623244.0,4.840669631958008,403850280,093715,093715,0,1/1,1,通信设备,20260422
14,605376,博迁新材,10.003739356994629,117.66,835758016,30779856000.0,30779856000.0,2.731273651123047,80750058,093743,093819,1,1/1,1,金属新材,20260422
15,600396,华电辽能,9.963099479675293,8.94,2195698256,13165998943.98,13165998935.039999,17.116844177246094,110369664,093842,094312,1,8/4,2,电力,20260422
16,603606,东方电缆,10.00163745880127,67.2,1414443408,46214472729.6,46214473267.200005,3.1027448177337646,80338473,093942,094006,1,1/1,1,电网设备,20260422
