序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1.0,2445.0,中南文化,10.049019813537598,4.49,516189168.0,10625050568.77,10670967836.64,4.858227729797363,487232888.0,92500.0,92500.0,0.0,5/5,5.0,通用设备,20260313
2.0,600121.0,郑州煤电,9.922179222106934,5.65,404522160.0,6884028014.700001,6884027980.8,5.876242160797119,170038778.0,92500.0,92500.0,0.0,2/2,2.0,煤炭开采,20260313
3.0,677.0,恒天海龙,10.087719917297363,5.02,112306567.0,4337169298.96,4337169319.04,2.58939790725708,117815253.0,92500.0,92500.0,0.0,1/1,1.0,化学纤维,20260313
4.0,600691.0,潞化科技,9.92555809020996,4.43,312600032.0,10523845767.36,10525600047.36,2.9717729091644287,106234341.0,92504.0,93022.0,1.0,2/2,2.0,农化制品,20260313
5.0,603929.0,亚翔集成,9.99765682220459,140.83,319935424.0,30047488800.000004,30047488800.000004,1.0671287775039673,219353146.0,93000.0,93000.0,0.0,1/1,1.0,专业工程,20260313
6.0,2931.0,锋龙股份,10.005393981933594,81.58,642824208.0,16418262814.24,17825707732.48,3.94735336303711,291847881.0,93018.0,93018.0,0.0,1/1,1.0,通用设备,20260313
7.0,2470.0,金正大,9.897611618041992,3.22,1137969440.0,10580113122.74,10581009335.68,10.868403434753418,180192810.0,93136.0,93136.0,0.0,1/1,1.0,农化制品,20260313
8.0,890.0,法尔胜,10.019841194152832,11.09,424799648.0,4652155700.14,4652299005.12,9.296765327453612,55731929.0,93142.0,93315.0,2.0,15/8,2.0,环保设备,20260313
9.0,2109.0,兴化股份,9.978768348693848,5.18,475782640.0,6611077828.179999,6611077854.08,7.345472812652588,33441422.0,93200.0,100521.0,1.0,1/1,1.0,化学原料,20260313
10.0,603558.0,健盛集团,9.991532325744627,12.99,125067549.0,4450868256.51,4450868243.52,2.8517119884490967,41178949.0,93327.0,93327.0,0.0,1/1,1.0,纺织制造,20260313
11.0,601669.0,中国电建,9.938838005065918,7.19,12775678464.0,93984270861.5,123856085798.4,13.774038314819336,681678306.0,93456.0,101453.0,1.0,1/1,1.0,基础建设,20260313
12.0,600307.0,酒钢宏兴,9.90099048614502,2.22,935629120.0,13904653481.28,13904653516.8,6.8178629875183105,51620394.0,93459.0,131441.0,4.0,1/1,1.0,普钢,20260313
13.0,603607.0,京华激光,9.991039276123049,24.55,234229313.0,4382587440.0,4382587440.0,5.3851423263549805,36246111.0,93520.0,93520.0,0.0,1/1,1.0,包装印刷,20260313
14.0,10.0,美丽生态,9.951457023620604,4.53,211570338.0,3841591007.55,5207924864.64,5.608273029327393,67120896.0,93533.0,93533.0,0.0,1/1,1.0,基础建设,20260313
15.0,600722.0,金牛化工,10.0,16.94,2973438224.0,11524615311.44,11524615379.2,26.133811950683594,25104402.0,94004.0,144849.0,19.0,20/10,3.0,化学原料,20260313
16.0,600227.0,赤天化,10.075567245483398,4.37,1707365840.0,5583111139.110001,7379739961.6,31.16402816772461,28400166.0,94035.0,144914.0,3.0,6/3,1.0,农化制品,20260313
17.0,2165.0,红 宝 丽,10.0,12.76,2382708416.0,9284552368.96,9382043158.4,26.277156829833984,158778039.0,94300.0,94300.0,0.0,1/1,1.0,化学制品,20260313
18.0,2382.0,蓝帆医疗,10.0,7.59,410425264.0,7587769913.79,7644177905.76,5.481700420379639,87250829.0,94654.0,94654.0,0.0,1/1,1.0,医疗器械,20260313
19.0,2429.0,兆驰股份,10.046082496643066,11.94,4622289664.0,54020536234.92,54051671623.68,8.676620483398438,60194423.0,94757.0,145418.0,5.0,1/1,1.0,黑色家电,20260313
20.0,603659.0,璞泰来,10.013578414916992,32.41,2159757616.0,69240694053.15999,69240693923.51999,3.1653575897216797,88180188.0,94917.0,94917.0,0.0,1/1,1.0,电池,20260313
21.0,603803.0,瑞斯康达,10.0,13.75,1020366384.0,5842148908.75,5842148840.0,18.42534065246582,92794707.0,95315.0,95315.0,0.0,4/3,1.0,通信设备,20260313
22.0,600683.0,京投发展,10.050251007080078,8.76,364276304.0,6489211749.72,6489211776.0,5.855688571929932,50816278.0,95822.0,100710.0,1.0,1/1,1.0,房地产开,20260313
23.0,1366.0,播恩集团,9.97906494140625,15.76,91652177.0,2532316800.0,2532316800.0,3.69510817527771,43056320.0,100348.0,100348.0,0.0,1/1,1.0,饲料,20260313
24.0,2056.0,横店东磁,10.004257202148438,25.84,2199581664.0,41990816776.56,42034240147.2,5.304670810699463,42809128.0,100351.0,145424.0,3.0,1/1,1.0,光伏设备,20260313
25.0,600726.0,华电能源,10.051546096801758,4.27,1493775520.0,31919685608.159996,33764325539.839996,4.9712629318237305,76517524.0,100655.0,100655.0,0.0,4/4,4.0,电力,20260313
26.0,600232.0,金鹰股份,10.025062561035156,8.78,112654441.0,3202228816.3199997,3202228816.3199997,3.637681722640991,57330766.0,100655.0,100655.0,0.0,1/1,1.0,专用设备,20260313
27.0,2950.0,奥美医疗,10.02921199798584,11.3,187880489.0,5107545861.700001,7155899110.400001,3.80215048789978,63920845.0,101427.0,101427.0,0.0,1/1,1.0,医疗器械,20260313
28.0,2531.0,天顺风能,10.00885772705078,12.42,1375159504.0,22192877260.08,22317232907.52,6.412021160125732,87460360.0,101909.0,101909.0,0.0,1/1,1.0,风电设备,20260313
29.0,2543.0,万和电气,10.0,9.79,219971017.0,6477171719.37,7279843999.999999,3.4721121788024902,17124002.0,103109.0,104224.0,3.0,1/1,1.0,厨卫电器,20260313
30.0,603366.0,日出东方,10.021322250366213,10.32,837970448.0,8390656402.320001,8390656350.72,10.231512069702148,75301314.0,103220.0,103220.0,0.0,1/1,1.0,厨卫电器,20260313
