序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1.0,2445.0,中南文化,10.130719184875488,3.37,15010091.0,7974703879.01,8009167396.320001,0.1882213056087494,484502766.0,92500.0,92500.0,0.0,2/2,2.0,通用设备,20260310
2.0,537.0,绿发电力,10.0,10.34,291642848.0,21368668319.68,21368668319.68,1.3648152351379397,173857204.0,92500.0,92500.0,0.0,1/1,1.0,电力,20260310
3.0,605268.0,王力安防,9.980430603027344,16.86,73212915.0,7426703550.0,7524660082.559999,0.9858063459396362,709069167.0,92502.0,92502.0,0.0,5/5,5.0,家居用品,20260310
4.0,601789.0,宁波建工,9.933774948120115,6.64,156683283.0,7216342637.599999,10121962030.08,2.171228408813477,361686244.0,92503.0,92503.0,0.0,3/3,3.0,房屋建设,20260310
5.0,603803.0,瑞斯康达,10.0,11.0,119550145.0,4673719127.0,4673719072.0,2.5579230785369873,109409509.0,92503.0,92503.0,0.0,1/1,1.0,通信设备,20260310
6.0,2632.0,道明光学,10.0,13.64,366112736.0,7936925190.04,8519531560.320001,4.6591081619262695,74542600.0,93154.0,93930.0,1.0,1/1,1.0,塑料,20260310
7.0,2467.0,二六三,10.0,7.59,2585111888.0,10374649233.63,10439072508.48,25.238067626953125,94038430.0,93200.0,130812.0,4.0,1/1,1.0,通信服务,20260310
8.0,2025.0,航天电器,9.992148399353027,56.03,1563933760.0,25430711501.0,25517517883.52,6.195791721343994,132356643.0,93242.0,100903.0,4.0,1/1,1.0,军工电子,20260310
9.0,839.0,国安股份,10.030394554138184,3.62,602956016.0,14189771394.24,14189771394.24,4.289919376373291,102025175.0,93351.0,93512.0,1.0,1/1,1.0,通信服务,20260310
10.0,2536.0,飞龙股份,9.991337776184082,38.09,1405351504.0,20736851148.0,21893594473.92,6.8978271484375,134950851.0,93639.0,94027.0,1.0,1/1,1.0,汽车零部,20260310
11.0,603421.0,鼎信通讯,10.035842895507812,9.21,207412812.0,6006674606.31,6006674615.52,3.5234375,90403656.0,93859.0,93950.0,1.0,1/1,1.0,通信设备,20260310
12.0,2969.0,嘉美包装,10.021231651306152,25.91,1230478752.0,28301207005.42,28462023897.92,4.426667213439941,116165127.0,94006.0,94315.0,3.0,1/1,1.0,包装印刷,20260310
13.0,300629.0,新劲刚,20.00830078125,28.91,1977452464.0,6268672009.67,7268651187.84,32.11681365966797,43502669.0,94045.0,145557.0,5.0,1/1,1.0,军工电子,20260310
14.0,2636.0,金安国纪,9.984214782714844,27.87,439376464.0,20186670671.79,20289360000.0,2.233130931854248,103282178.0,94154.0,94154.0,0.0,1/1,1.0,元件,20260310
15.0,2903.0,宇环数控,9.996377944946287,30.37,540701968.0,3238752435.13,4758918260.0,17.264081954956055,79010257.0,94342.0,94354.0,1.0,2/2,2.0,通用设备,20260310
16.0,603017.0,中衡设计,10.040816307067873,13.48,177966284.0,3723045149.64,3723045082.24,4.879570484161377,66248808.0,94406.0,94406.0,0.0,1/1,1.0,工程咨询,20260310
17.0,600726.0,华电能源,9.931507110595703,3.21,504528480.0,23995829227.68,25382549176.32,2.165677547454834,40865547.0,94633.0,94633.0,0.0,1/1,1.0,电力,20260310
18.0,300936.0,中英科技,20.00819969177246,58.54,484635680.0,2778324498.5,4402208000.0,18.145219802856445,44168430.0,94851.0,142533.0,1.0,1/1,1.0,元件,20260310
19.0,949.0,新乡化纤,10.0,7.59,791271552.0,12572416965.57,12575870392.8,6.430042266845703,145268941.0,95139.0,95139.0,0.0,1/1,1.0,化学纤维,20260310
20.0,300257.0,开山股份,19.993009567260746,34.33,1330547760.0,32774514566.0,34111490373.92,4.199375152587891,8077849.0,95224.0,132418.0,11.0,1/1,1.0,通用设备,20260310
