序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1,002297,博云新材,10.007524490356445,14.62,143482888,8378792453.78,8378792409.919999,1.712453007698059,608327220,092500,092500,0,3/3,3,航空装备,20260415
2,603687,大胜达,10.0,18.04,379485840,9922574826.56,9922574970.88,3.8244693279266357,271649928,092500,092500,0,1/1,1,包装印刷,20260415
3,002468,申通快递,10.0,16.39,158777404,24047407442.74,25089847402.4,0.6602683067321777,348968406,092500,092500,0,1/1,1,物流,20260415
4,603698,航天工程,9.988870620727539,39.53,832099456,21187684700.0,21187684700.0,3.9295942783355713,172540939,093014,093147,2,2/2,2,专用设备,20260415
5,002580,圣阳股份,10.013060569763184,25.27,2708185808,11430601476.0,11469269427.84,23.85525131225586,240706453,093021,095939,9,11/6,5,电池,20260415
6,603950,长源东谷,10.0,59.84,619539136,19364630912.0,19395987072.0,3.230217695236206,48393804,093119,093455,3,6/5,1,汽车零部,20260415
7,600605,汇通能源,10.003402709960938,32.33,598343552,6669110929.57,6669110929.57,9.162453651428223,30037803,093124,130721,1,2/2,2,一般零售,20260415
8,002051,中工国际,9.981515884399414,11.9,1430293344,14724318832.300001,14725166433.6,9.800546646118164,60191021,093133,134139,7,9/5,2,专业工程,20260415
9,002124,天邦食品,10.175437927246094,3.14,1211353408,6193193594.72,6976872257.6,19.74380111694336,84476453,093218,131318,4,3/3,3,养殖业,20260415
10,002589,瑞康医药,10.122699737548828,3.59,331610960,4902473657.32,5401910565.76,6.881252765655518,108408210,093439,093439,0,1/1,1,医药商业,20260415
11,603459,红板科技,10.003216743469238,68.4,1710739824,5407147087.200001,51556745145.600006,32.45186233520508,233495917,093453,095011,2,1/1,1,元件,20260415
12,603063,禾望电气,10.00867748260498,38.03,2503207808,17448201725.760002,17448201725.760002,14.490106582641602,183878510,093455,130031,2,1/1,1,风电设备,20260415
13,605365,立达信,9.990706443786621,23.67,212408048,11882644774.92,11882644869.6,1.8055415153503418,53730900,093504,093504,0,1/1,1,照明设备,20260415
14,000785,居然智家,10.204081535339355,2.7,349311280,15923502352.800001,16813031500.800001,2.2299067974090576,51101741,093539,093815,2,1/1,1,一般零售,20260415
15,603327,福蓉科技,10.02087688446045,10.54,501324800,11019141654.4,11019141654.4,4.620234489440918,43884206,093733,093839,1,1/1,1,消费电子,20260415
16,603444,吉比特,10.00055980682373,393.34,1443282592,28336646667.339996,28336646667.339996,5.156619071960449,88501500,093843,105519,3,1/1,1,游戏Ⅱ,20260415
17,603815,交建股份,10.034602165222168,6.36,135433728,3936358134.6000004,3936358166.4,3.512352466583252,83036796,093906,093906,0,1/1,1,基础建设,20260415
18,605098,行动教育,10.003657341003418,60.15,129416706,7172953665.0,7172953665.0,1.8199689388275146,91326166,093931,093931,0,1/1,1,教育,20260415
19,301189,奥尼电子,20.002777099609375,86.39,1139401136,9654762648.47,10055490611.35,11.908071517944336,68379412,094030,141654,3,2/2,2,消费电子,20260415
20,603890,春秋电子,9.994120597839355,18.71,1239916512,8359785182.71,8359785164.0,15.115296363830566,26634975,094235,095129,4,1/1,1,消费电子,20260415
21,002498,汉缆股份,9.961190223693848,8.5,1449685232,28277766000.0,28277766000.0,5.213320732116699,125480901,094309,105757,1,1/1,1,电网设备,20260415
22,002787,华源控股,10.026385307312012,16.68,456971200,4184346701.52,5590745554.559999,11.114302635192871,79231668,094357,100248,1,4/2,1,包装印刷,20260415
23,002798,帝欧水华,10.066006660461426,6.67,132362092,3197745073.5,3669684485.2799997,4.22760009765625,74122315,094857,094857,0,1/1,1,家居用品,20260415
24,603285,键邦股份,10.0,34.65,246763113,2158583427.0,5544000000.0,11.584556579589844,26954235,095012,103339,1,1/1,1,化学制品,20260415
25,600135,乐凯胶片,10.019646644592285,11.2,272931152,6197039508.799999,6197039564.799999,4.526124477386475,62345169,095015,095015,0,1/1,1,塑料,20260415
26,688805,健信超导,20.008432388305664,56.92,517692320,1794053454.28,9544345600.0,29.89674186706543,94036962,095247,095247,0,1/1,1,医疗器械,20260415
27,600267,海正药业,10.048309326171875,11.39,548437456,13653890022.44,13653890068.0,4.115350246429443,65966324,095439,095754,1,1/1,1,化学制药,20260415
28,000919,金陵药业,9.986684799194336,8.26,591954928,5135793173.28,5137096601.28,11.965309143066406,111382093,095530,095530,0,1/1,1,化学制药,20260415
29,600664,哈药股份,9.90099048614502,4.44,1973541120,11182183849.44,11182183831.68,18.15741539001465,142209204,095912,100930,1,2/2,2,化学制药,20260415
30,002824,和胜股份,9.988860130310059,29.62,984461680,6516433766.8,9217117003.84,15.540926933288574,81316970,100403,112448,4,5/3,1,工业金属,20260415
31,003036,泰坦股份,10.0,29.7,388400896,6423471034.2,6423635869.2,6.296235084533691,143733090,100436,100436,0,4/2,1,专用设备,20260415
32,001896,豫能控股,10.02656078338623,16.57,4219852288,25282196638.100002,25282196604.96,17.448261260986328,75347816,101957,143103,2,1/1,1,电力,20260415
33,001208,华菱线缆,10.025707244873047,21.4,926643872,5632699285.799999,13660699244.8,16.928800582885742,139851268,102048,102048,0,1/1,1,电网设备,20260415
34,603773,沃格光电,9.99555778503418,49.52,890186512,11125095506.16,11128958066.16,8.40613842010498,63264176,103335,103335,0,5/3,1,光学光电,20260415
35,002361,神剑股份,10.02967357635498,18.54,5460270592,15001140123.359999,17632188455.04,38.1609001159668,271306944,103845,103921,1,1/1,1,塑料,20260415
36,002033,丽江股份,9.955751419067383,9.94,703301696,5461832999.139999,5461937597.759999,13.245874404907227,51015459,105006,130657,1,1/1,1,旅游及景,20260415
37,603216,梦天家居,10.016583442687988,33.17,356901808,7386627300.0,7386627300.0,4.980373859405518,31100192,105707,105707,0,1/1,1,家居用品,20260415
38,603150,万朗磁塑,10.0,57.53,194104442,4917836990.0,4917836990.0,4.078822612762451,107615618,110617,110617,0,1/1,1,塑料,20260415
39,002788,鹭燕医药,10.0,15.95,1091815776,6089611125.95,6196841939.2,18.716392517089844,121809527,111912,111912,0,1/1,1,医药商业,20260415
40,002038,双鹭药业,9.945504188537598,8.07,1089549872,6874941694.83,8290714500.0,16.691652297973633,104531517,112112,112112,0,1/1,1,化学制药,20260415
41,688166,博瑞医药,20.0,57.66,1525964096,24396202817.64,24396202471.68,6.732831001281738,120621894,112213,131104,1,1/1,1,化学制药,20260415
42,605289,罗曼股份,10.0,126.61,698940496,13716610875.0,13801439575.0,5.24545955657959,74965781,112520,112520,0,1/1,1,专业工程,20260415
43,002705,新宝股份,10.02538013458252,17.34,834157504,14012512956.0,14077925955.84,6.151033878326416,80948322,130548,130548,0,1/1,1,小家电,20260415
44,603629,利通电子,10.006254196166992,87.95,3714265696,22590133400.0,23071044000.0,17.216487884521484,152637225,130619,130619,0,6/3,2,消费电子,20260415
45,600683,京投发展,9.988901138305664,9.91,276090944,7341105986.27,7341106016.0,3.957059144973755,22166906,131223,131223,0,1/1,1,房地产开,20260415
46,605222,起帆电缆,10.021322250366211,25.8,587966528,10652905836.6,10652905862.4,5.713198184967041,14140980,131327,131327,0,1/1,1,电网设备,20260415
47,000788,北大医药,10.081300735473633,6.77,741744976,4034834867.2499995,4034834860.4799995,19.395427703857422,155694429,132157,132157,0,1/1,1,化学制药,20260415
48,605366,宏柏新材,10.008203506469727,13.41,536773088,10407201957.0,10407201903.36,5.360611915588379,27721192,132204,133919,1,1/1,1,化学制品,20260415
49,600488,津药药业,9.967845916748047,6.84,1582721168,7468504891.2,7468504945.92,22.38966941833496,7497324,132329,134553,5,13/8,1,化学制药,20260415
50,600572,康恩贝,10.091742515563965,4.8,966306000,12144735782.4,12177096652.8,8.200553894042969,83696928,132722,132722,0,1/1,1,中药Ⅱ,20260415
51,301408,华人健康,19.976905822753906,20.78,1272624496,4757776394.34,8312207800.0,28.432920455932617,236041910,132733,132733,0,1/1,1,医药商业,20260415
52,600594,益佰制药,9.930715560913086,4.76,855563600,3769574424.0,3769574462.08,23.650663375854492,16813614,132733,145203,1,1/1,1,中药Ⅱ,20260415
53,000026,飞亚达,10.0,17.82,627411168,6496472262.06,7230714480.0,10.043201446533203,35536626,132930,135615,3,3/2,1,饰品,20260415
54,002990,盛视科技,10.005224227905273,42.11,1186953520,5718479593.43,11026593531.18,21.889394760131836,19324279,135339,135657,1,2/2,2,计算机设,20260415
55,605388,均瑶健康,10.060060501098633,7.33,278189184,4401547720.0,4401547720.0,6.583827972412109,84249260,140324,140324,0,1/1,1,饮料乳品,20260415
56,002891,中宠股份,9.989484786987305,41.84,926925536,13373454468.720001,13373454426.880001,7.138883113861084,101214432,142003,142003,0,1/1,1,饲料,20260415
57,000889,中嘉博创,9.976798057556152,4.74,1402350160,4123087464.2400002,4438019908.8,36.60606384277344,52194353,144354,144354,0,6/5,2,通信服务,20260415
