序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1,000925,众合科技,10.0,10.12,137845765,6813232396.959999,6844862942.719999,2.0232064723968506,382488203,092500,092500,0,3/3,3,轨交设备,20260427
2,301500,飞南资源,19.98417091369629,30.32,1229327936,4367616253.76,17038384640.0,28.234663009643555,89418470,092500,100848,7,1/1,1,环境治理,20260427
3,002902,铭普光磁,9.996155738830566,28.61,438467616,5082052836.059999,6723609263.82,8.631196022033691,171085368,093000,093000,0,1/1,1,通信设备,20260427
4,002154,报 喜 鸟,9.91735553741455,3.99,312978064,4707295578.72,5822741574.72,6.651426315307617,37901979,093000,093142,1,1/1,1,服装家纺,20260427
5,001332,锡装股份,9.996498107910156,62.83,115200392,3016059967.83,6942086700.0,3.8211796283721924,65167276,093000,093145,2,1/1,1,专用设备,20260427
6,003036,泰坦股份,10.00297737121582,36.95,124540709,7991490057.700001,7991695130.200001,1.568833827972412,110641232,093003,093003,0,2/2,2,专用设备,20260427
7,605138,盛泰集团,10.074073791503906,7.43,64571687,4127896178.1299996,4127896155.8399997,1.567110300064087,16929998,093003,093003,0,1/1,1,服装家纺,20260427
8,600637,东方明珠,10.030394554138184,10.86,509793296,36510232012.619995,36510232088.64,1.4032329320907593,190742010,093027,093027,0,1/1,1,电视广播,20260427
9,603318,水发燃气,10.008779525756836,12.53,1168677536,5752158677.719999,6950055396.48,20.522817611694336,47885901,093035,142923,7,6/5,4,燃气Ⅱ,20260427
10,688530,欧莱新材,20.0,46.2,483743360,3131353024.8,7394070868.8,15.584917068481445,117202654,093053,093353,2,1/1,1,半导体,20260427
11,600726,华电能源,10.0,6.38,3381090800,47692645007.04,50448804904.96,7.653369903564453,8858630,093114,145029,23,3/3,3,电力,20260427
12,002115,三维通信,9.983498573303223,13.33,856699904,10026766441.56,10810514402.24,8.589719772338867,164992501,093130,093503,1,1/1,1,通信服务,20260427
13,002210,飞马国际,10.0401611328125,2.74,187241556,7275433906.26,7291777784.320001,2.595163345336914,69935113,093203,093203,0,1/1,1,环境治理,20260427
14,603272,联翔股份,10.00452709197998,24.3,143174844,2518136100.0,2518136100.0,5.721096038818359,33405210,093213,093313,1,2/2,2,家居用品,20260427
15,603773,沃格光电,10.0,64.13,849584880,14407358134.289999,14412360274.289999,5.961139678955078,60699878,093213,094143,2,13/7,1,光学光电,20260427
16,002217,合力泰,10.037175178527832,2.96,1729458848,21546794277.36,22139020779.52,8.115924835205078,358394136,093312,094121,3,1/1,1,光学光电,20260427
17,603125,常青科技,9.984639167785645,21.48,167733923,8695885335.0,8695885184.64,1.9436899423599243,46560370,093316,093343,1,1/1,1,化学制品,20260427
18,688221,前沿生物-U,20.0,22.74,1602568528,8517918569.219999,8517918637.44,18.923524856567383,22249225,093355,144531,20,1/1,1,化学制药,20260427
19,688677,海泰新光,19.99595832824707,118.76,756359264,14236592520.0,14236592520.0,5.429361820220947,6782027,093401,141049,21,1/1,1,医疗器械,20260427
20,002120,韵达股份,10.013531684875488,8.13,1021111168,22887006192.690002,23570506796.640003,4.4797563552856445,43236331,093515,130130,2,1/1,1,物流,20260427
21,000593,德龙汇能,9.985734939575195,23.13,499790640,8291715698.969999,8295135215.04,6.1461310386657715,53929121,093557,093557,0,3/2,1,燃气Ⅱ,20260427
22,603579,荣泰健康,10.014947891235352,22.08,139860876,4439236197.12,4439236197.12,3.181647777557373,86720061,093714,093714,0,1/1,1,其他家电,20260427
23,603486,科沃斯,9.993510246276855,67.8,916257904,38873296788.0,39250949568.0,2.3762927055358887,75723243,093718,094209,1,1/1,1,小家电,20260427
24,600433,冠豪高新,10.0,4.4,668606384,7701228625.200001,7701228620.8,8.829364776611328,37095960,093738,095714,1,1/1,1,造纸,20260427
25,600338,西藏珠峰,10.01329231262207,24.83,2907536368,22699838471.44,22699838670.079998,13.069238662719727,33527750,093745,102042,2,2/2,2,工业金属,20260427
26,000062,深圳华强,9.988351821899414,37.77,3952832960,39465875908.29,39503995318.560005,10.289164543151855,113563436,093748,111030,11,4/3,2,其他电子,20260427
27,603657,春光科技,10.011641502380371,28.35,75096943,3832637917.5,3832637917.5,1.9850869178771973,63565236,093818,093818,0,1/1,1,家电零部,20260427
28,605006,山东玻纤,9.990301132202148,11.34,253337107,6804548561.16,6804548493.12,3.8282339572906494,89559747,094130,094130,0,1/1,1,玻璃玻纤,20260427
29,603931,格林达,9.987236976623535,34.47,344307088,6878777358.599999,6878777358.599999,5.090940952301025,33933646,094221,094221,0,1/1,1,电子化学,20260427
30,605118,力鼎光电,10.011613845825195,47.36,182228332,19364012160.0,19477510778.88,0.9634885191917419,35789952,094315,094315,0,1/1,1,计算机设,20260427
31,603228,景旺电子,10.0,75.35,3211814064,73523245719.54999,74206039916.79999,4.450429439544678,356596889,094741,094741,0,1/1,1,元件,20260427
32,002181,粤 传 媒,9.969325065612793,14.34,1072136192,16269262071.36,16649574243.84,6.800150394439697,152841111,095239,095239,0,1/1,1,出版,20260427
33,605289,罗曼股份,10.003865242004395,142.29,508734160,15415342875.0,15510677175.0,3.3842170238494873,42629941,095352,095743,1,1/1,1,专业工程,20260427
34,002484,江海股份,9.994154930114746,37.64,1738339728,30882576054.600002,32013720951.04,5.73861837387085,156205284,100118,100224,1,1/1,1,元件,20260427
35,603726,朗迪集团,10.008935928344727,24.62,179598139,4547466644.0,4570732544.0,4.074526786804199,57553977,100502,105902,1,1/1,1,家电零部,20260427
36,600396,华电辽能,10.0,10.12,2731620816,14903792988.039999,14903792977.919998,19.115493774414062,101035044,100524,100524,0,11/6,1,电力,20260427
37,000565,渝三峡Ａ,10.013717651367188,8.02,215699556,3477409604.3999996,3477409636.48,6.308518409729004,103018504,101554,101554,0,1/1,1,化学制品,20260427
38,002029,七 匹 狼,9.98023796081543,11.13,368274784,7405968323.67,7846911955.68,5.054697513580322,131185726,101945,101945,0,1/1,1,服装家纺,20260427
39,301248,杰创智能,19.99412727355957,81.74,1178484048,9181747938.0,12563846700.0,13.64974308013916,69726345,102418,102418,0,1/1,1,IT服务Ⅱ,20260427
40,605287,德才股份,10.0,49.28,544038448,6899200000.0,6899200000.0,8.031538009643555,43305292,102419,135231,5,1/1,1,装修装饰,20260427
41,600815,厦工股份,10.051546096801758,4.27,756536896,7575383429.599999,7575383429.599999,10.3423490524292,34015247,102627,104115,1,4/2,1,工程机械,20260427
42,002560,通达股份,10.035087585449219,15.68,1859205760,7102036511.36,8243580871.68,26.904809951782227,94395168,103112,103112,0,1/1,1,电网设备,20260427
43,001211,双枪科技,10.014471054077148,38.01,431878160,2546539815.75,2736720000.0,17.201780319213867,21201978,103736,110957,2,2/2,2,家居用品,20260427
44,300582,英飞特,19.984745025634766,15.73,583675904,3485211063.62,4695979082.08,17.33592414855957,53836805,103742,103742,0,1/1,1,光学光电,20260427
45,600246,万通发展,10.0,10.67,1316333584,20170701118.92,20731676326.24,6.7388596534729,88566335,103815,103815,0,1/1,1,房地产开,20260427
46,600400,红豆股份,9.954751014709473,2.43,293759184,5568033600.360001,5568033610.08,5.429749488830566,56654713,103929,103929,0,1/1,1,服装家纺,20260427
47,603110,东方材料,10.0167875289917,19.66,650815392,3956117551.12,3956117551.12,16.827987670898438,7466474,104120,144929,12,1/1,1,化学制品,20260427
48,603501,豪威集团,9.997897148132324,104.63,5315886848,126644861705.29,131953903521.43999,4.326727867126465,324171153,110004,111307,2,1/1,1,半导体,20260427
49,002134,天津普林,9.995596885681152,24.98,483547344,6157318026.74,6161314252.2,7.9731340408325195,112316075,110200,110200,0,1/1,1,元件,20260427
50,600693,东百集团,10.019083976745605,11.53,787122448,10019025576.46,10029327147.199999,8.184062004089355,74262424,111019,111019,0,1/1,1,一般零售,20260427
51,688381,帝奥微,20.006816864013672,35.21,851426752,8714475000.0,8714475000.0,10.086503982543945,68792875,111258,111258,0,1/1,1,半导体,20260427
52,603610,麒盛科技,10.006583213806152,16.71,154867561,5898489986.91,5898489903.360001,2.7053050994873047,108212807,112156,112156,0,1/1,1,家居用品,20260427
53,603095,越剑智能,9.988452911376953,19.05,206575403,4920028260.0,4920028260.0,4.324182510375977,19434200,112825,133158,4,1/1,1,专用设备,20260427
54,600152,维科技术,10.030863761901855,14.26,1984678832,7544671887.5,7544671901.76,27.840011596679688,48834325,130114,132238,2,2/2,2,电池,20260427
55,002706,良信股份,10.048309326171875,11.39,1149882288,10414801754.1,12792394023.36,11.309101104736328,141793745,130124,130124,0,1/1,1,电网设备,20260427
56,600418,江淮汽车,10.00224781036377,48.94,4418786560,106885439171.54,110319480716.48,4.237338066101074,130708364,130218,130218,0,1/1,1,商用车,20260427
57,603626,科森科技,10.022573471069336,24.37,1098567392,13522418045.300001,13522418191.52,8.394693374633789,63571582,130608,131202,3,1/1,1,消费电子,20260427
58,603211,晋拓股份,10.004331588745117,25.4,323602848,6903923200.0,6903923200.0,4.8561482429504395,32953960,130910,130910,0,1/1,1,汽车零部,20260427
59,002785,万里石,10.0,44.55,730235696,8620203274.65,10095907412.25,8.82526683807373,18318960,131915,140721,8,1/1,1,装修建材,20260427
60,002741,光华科技,9.98023796081543,22.26,831968592,9490733865.900002,10351396487.04,9.094225883483887,61346334,132121,132342,2,1/1,1,电子化学,20260427
61,688001,华兴源创,20.0,60.66,1477604304,26962753876.379997,26962753694.399998,5.947880268096924,78950203,132719,132719,0,1/1,1,通用设备,20260427
62,600830,香溢融通,10.034602165222168,9.54,219298941,4334239006.379999,4334239054.08,5.232625484466553,23720189,135043,135619,2,1/1,1,多元金融,20260427
63,000952,广济药业,10.029940605163574,7.35,163056486,2528356157.25,2548614969.6,6.756981372833252,94466808,135109,135109,0,1/1,1,化学制药,20260427
64,002175,东方智造,10.041841506958008,2.63,331499232,3357933312.0099998,3357933293.6,10.465683937072754,2674184,140830,142903,3,1/1,1,通用设备,20260427
65,600707,彩虹股份,10.037175178527832,8.88,1468899344,31858507220.160004,31864900784.640003,4.830796718597412,33806160,142914,144929,1,1/1,1,光学光电,20260427
