序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1.0,533.0,顺钠股份,9.977827072143556,14.88,148069213.0,10191347712.0,10279342080.0,1.4528913497924805,421632418.0,92500.0,92500.0,0.0,3/3,3.0,电网设备,20260306
2.0,605268.0,王力安防,10.023677825927734,13.94,78750406.0,6140465450.0,6221456794.24,1.282482624053955,565909076.0,92502.0,92502.0,0.0,3/3,3.0,家居用品,20260306
3.0,601567.0,三星医疗,9.985040664672852,29.41,314273760.0,41327208454.0,41327208689.28,0.7604524493217468,331396320.0,92503.0,92503.0,0.0,1/1,1.0,电网设备,20260306
4.0,2227.0,奥 特 迅,10.010213851928713,10.77,97888583.0,2648738969.8199997,2668872450.9,3.710345268249512,21031656.0,93015.0,93015.0,0.0,1/1,1.0,其他电源,20260306
5.0,600590.0,泰豪科技,9.993202209472656,16.18,498375632.0,13648954882.14,13799432457.92,3.6694490909576416,244903440.0,93025.0,93025.0,0.0,2/2,2.0,军工电子,20260306
6.0,600825.0,新华传媒,10.0,6.6,367465728.0,6896259810.0,6896259849.599999,5.3554558753967285,30078180.0,93033.0,100257.0,2.0,1/1,1.0,出版,20260306
7.0,600545.0,卓郎智能,10.079575538635254,4.15,730192464.0,7419835721.3,7419835729.6,9.97230339050293,58156025.0,93040.0,141222.0,2.0,12/6,3.0,专用设备,20260306
8.0,600821.0,金开新能,9.974424362182615,8.6,1097969936.0,17176465695.8,17176465721.599998,6.477434158325195,212535670.0,93138.0,93202.0,1.0,6/3,1.0,电力,20260306
9.0,720.0,新能泰山,10.0,4.4,251906921.0,5528738912.400001,5528738899.200001,4.6250457763671875,32672376.0,93151.0,93151.0,0.0,1/1,1.0,电网设备,20260306
10.0,605286.0,同力天启,9.992233276367188,42.49,205555195.0,7138320000.0,7138320000.0,2.913749933242798,38861354.0,93251.0,94236.0,2.0,1/1,1.0,专用设备,20260306
11.0,2498.0,汉缆股份,9.955257415771484,9.83,3225933040.0,32702404680.0,32702404680.0,9.972999572753906,188207372.0,93318.0,95848.0,5.0,11/7,3.0,电网设备,20260306
12.0,601.0,韶能股份,10.035842895507812,6.14,342787584.0,6444095208.98,6535068033.92,5.432797431945801,123380113.0,93448.0,93448.0,0.0,1/1,1.0,电力,20260306
13.0,601616.0,广电电气,10.0,6.16,512143568.0,5258639965.04,5258639921.92,10.011651992797852,74967809.0,93707.0,93707.0,0.0,1/1,1.0,电网设备,20260306
14.0,516.0,国际医学,10.10988998413086,5.01,331978768.0,11046329907.69,11216872727.52,3.056239366531372,99987991.0,93718.0,93718.0,0.0,1/1,1.0,医疗服务,20260306
15.0,2470.0,金正大,10.0,2.86,1170273008.0,9397243332.62,9398039347.84,12.757126808166504,103954708.0,94009.0,94418.0,1.0,12/6,1.0,农化制品,20260306
16.0,815.0,美利云,9.97977066040039,16.31,1508224624.0,11339740100.849998,11339740182.4,13.829083442687988,215734359.0,94015.0,94015.0,0.0,2/2,2.0,IT服务Ⅱ,20260306
17.0,600396.0,华电辽能,9.909910202026367,3.66,351683744.0,5390106950.22,5390106946.56,6.637241363525391,37944325.0,94049.0,94413.0,2.0,1/1,1.0,电力,20260306
18.0,2015.0,协鑫能科,10.0,15.62,1505216080.0,25356330470.68,25356330376.96,6.071414470672607,300873408.0,94051.0,94051.0,0.0,1/1,1.0,电力,20260306
19.0,301638.0,南网数字,20.0,28.38,2044991808.0,6668736912.42,90238473357.12,31.77502822875977,134825972.0,94109.0,94109.0,0.0,1/1,1.0,IT服务Ⅱ,20260306
20.0,2843.0,泰嘉股份,10.003938674926758,27.93,2235600160.0,7004636256.66,7031030106.66,32.839332580566406,88529218.0,94115.0,145048.0,2.0,10/5,1.0,通用设备,20260306
21.0,603716.0,塞力医疗,10.014238357543944,23.18,480068080.0,4872415740.68,4872415740.68,10.011088371276855,40131928.0,94222.0,94222.0,0.0,1/1,1.0,医药商业,20260306
22.0,603316.0,诚邦股份,10.0,16.94,334996048.0,4476632160.0,4476632160.0,7.709070205688477,68347699.0,94258.0,94258.0,0.0,3/2,1.0,基础建设,20260306
23.0,3023.0,彩虹集团,9.99142360687256,25.65,324950672.0,2695869224.1,2702012040.0,12.210861206054688,142442016.0,94442.0,94751.0,3.0,1/1,1.0,小家电,20260306
24.0,545.0,金浦钛业,9.970674514770508,3.75,775213216.0,3695261610.0,3700624140.0,21.368793487548828,50001375.0,94539.0,111733.0,2.0,1/1,1.0,化学原料,20260306
25.0,600354.0,敦煌种业,9.942362785339355,7.63,1252195264.0,4027129870.4,4027129870.4,31.68076515197754,19470234.0,94903.0,145418.0,7.0,1/1,1.0,种植业,20260306
26.0,2448.0,中原内配,10.012284278869627,17.91,523956448.0,8158674995.190001,10538416795.68,6.547852993011475,110781409.0,94921.0,94921.0,0.0,1/1,1.0,汽车零部,20260306
27.0,2165.0,红 宝 丽,10.0,12.21,991693840.0,8884356146.16,8977644746.400002,11.509649276733398,247343659.0,94951.0,94951.0,0.0,1/1,1.0,化学制品,20260306
28.0,677.0,恒天海龙,10.0,4.4,252354301.0,3801502971.2,3801502988.8,6.768930435180664,109561909.0,95124.0,95124.0,0.0,1/1,1.0,化学纤维,20260306
29.0,600676.0,交运股份,10.026041030883787,8.45,204462681.0,8690765376.8,8690765376.8,2.410043478012085,57814756.0,95150.0,95150.0,0.0,1/1,1.0,汽车服务,20260306
30.0,600470.0,六国化工,9.986859321594238,8.37,837651072.0,4365792000.0,4365792000.0,19.65586280822754,16555023.0,95204.0,100428.0,1.0,1/1,1.0,农化制品,20260306
31.0,2809.0,红墙股份,9.967845916748049,13.68,195549694.0,1903140806.4,2894857809.84,10.56015968322754,129916976.0,95342.0,95342.0,0.0,1/1,1.0,化学制品,20260306
32.0,2478.0,常宝股份,9.992070198059082,13.87,717845072.0,10024181020.06,12494154586.88,7.3782477378845215,98769324.0,95357.0,95357.0,0.0,1/1,1.0,特钢Ⅱ,20260306
33.0,600645.0,中源协和,10.003560066223145,30.9,1319837568.0,14454098098.5,14459620886.4,9.25393009185791,17500338.0,95927.0,135545.0,7.0,1/1,1.0,生物制品,20260306
34.0,1696.0,宗申动力,9.99138641357422,25.54,3878666208.0,22766310666.5,29243987741.12,17.38852882385254,185463639.0,100427.0,102712.0,1.0,1/1,1.0,通用设备,20260306
35.0,2063.0,远光软件,10.047096252441406,7.01,871510848.0,12363696722.85,13389559519.52,7.218879699707031,74282993.0,100533.0,101739.0,1.0,1/1,1.0,软件开发,20260306
36.0,603158.0,腾龙股份,10.0401611328125,10.96,288039184.0,5378840822.080001,5378840778.240001,5.485990524291992,83400909.0,100640.0,100640.0,0.0,1/1,1.0,汽车零部,20260306
37.0,688176.0,亚虹医药-U,20.02861213684082,16.78,977989792.0,7310810224.22,9584240654.400002,14.0187349319458,39873172.0,100727.0,104657.0,1.0,3/2,1.0,化学制药,20260306
38.0,600482.0,中国动力,10.002801895141602,39.26,1788067104.0,88476368782.09999,88476368664.31999,2.0772743225097656,167549627.0,100753.0,101420.0,2.0,1/1,1.0,其他电源,20260306
39.0,2506.0,协鑫集成,10.099010467529297,5.56,5816783104.0,32495037900.12,32527759984.64,18.683229446411133,469169051.0,100830.0,100830.0,0.0,4/2,1.0,光伏设备,20260306
40.0,600108.0,亚盛集团,9.960159301757812,5.52,2592029376.0,10746971467.92,10746971462.4,25.32457160949707,49663257.0,101206.0,131318.0,3.0,6/5,1.0,种植业,20260306
41.0,600227.0,赤天化,10.033445358276367,3.29,559736016.0,4203303351.87,5555914067.2,13.908016204833984,118314167.0,101243.0,101243.0,0.0,1/1,1.0,农化制品,20260306
42.0,603097.0,江苏华辰,9.994641304016112,41.05,286651968.0,6568130580.049999,6779538080.049999,4.514285087585449,70203710.0,101542.0,101542.0,0.0,1/1,1.0,电网设备,20260306
43.0,2961.0,瑞达期货,9.995952606201172,27.18,679060448.0,12962989553.94,12963050899.2,5.34983491897583,118092234.0,101651.0,101651.0,0.0,1/1,1.0,多元金融,20260306
44.0,603778.0,国晟科技,10.03215503692627,17.11,1570417424.0,10999285699.62,11235146810.08,14.681063652038574,77979612.0,101706.0,131836.0,1.0,4/2,1.0,光伏设备,20260306
45.0,601868.0,中国能建,9.885931968688965,2.89,5729469440.0,93719022868.04,120487462942.72,6.251601219177246,149157246.0,102229.0,110005.0,2.0,1/1,1.0,基础建设,20260306
46.0,603269.0,海鸥股份,10.0,16.94,900414640.0,5230254949.92,5230255085.440001,17.679325103759766,13972789.0,103004.0,141622.0,15.0,1/1,1.0,通用设备,20260306
47.0,301205.0,联特科技,20.0,237.72,3824469168.0,16155042321.6,30842743680.0,25.78392791748047,379409677.0,103254.0,103530.0,2.0,1/1,1.0,通信设备,20260306
48.0,1400.0,江顺科技,10.004368782043455,125.9,270232656.0,1888500000.0,7554000000.0,14.77731990814209,102847961.0,104036.0,104036.0,0.0,1/1,1.0,专用设备,20260306
49.0,603285.0,键邦股份,9.99126148223877,37.76,130538982.0,2352326412.7999997,6041600000.0,5.687605381011963,159870780.0,104249.0,104249.0,0.0,1/1,1.0,化学制品,20260306
50.0,534.0,万泽股份,10.002667427062988,41.24,812594880.0,20618779955.84,21013780634.88,4.1014084815979,65822133.0,104412.0,104412.0,0.0,1/1,1.0,生物制品,20260306
51.0,301032.0,新柴股份,19.984140396118164,15.13,350193664.0,2418875085.75,3648348342.0,15.198232650756836,20944095.0,104612.0,104612.0,0.0,1/1,1.0,通用设备,20260306
52.0,603063.0,禾望电气,10.0,31.9,1534877408.0,14606757352.0,14606757352.0,10.750311851501465,66104328.0,104619.0,110355.0,2.0,1/1,1.0,风电设备,20260306
53.0,600397.0,江钨装备,10.01651096343994,19.99,1941283760.0,19789298041.18,19789298161.12,10.213829040527344,25675156.0,105402.0,142314.0,7.0,12/6,1.0,专用设备,20260306
54.0,600075.0,新疆天业,9.938838005065918,7.19,613889520.0,12275945614.150002,12275945664.48,5.092411041259766,17540199.0,105548.0,144933.0,3.0,1/1,1.0,化学原料,20260306
55.0,1216.0,华瓷股份,10.010482788085938,20.99,303892944.0,5154161647.009999,5286682033.0,6.147980690002441,37802990.0,110600.0,110600.0,0.0,1/1,1.0,家居用品,20260306
56.0,301265.0,华新环保,20.0,19.8,689141520.0,3361983629.4,5998869043.2,21.843189239501953,43201620.0,110742.0,132200.0,2.0,1/1,1.0,环境治理,20260306
57.0,2913.0,奥士康,10.002070426940918,53.12,1036349520.0,16025422951.679998,16858190397.44,6.743383407592773,41656279.0,111545.0,111545.0,0.0,2/2,2.0,元件,20260306
58.0,2667.0,威领股份,10.016488075256348,26.69,917274208.0,6315147590.0,6955187135.0,15.1021728515625,12779972.0,111657.0,143612.0,6.0,1/1,1.0,专用设备,20260306
59.0,601789.0,宁波建工,10.020039558410645,5.49,618766448.0,5966524259.1,8368911377.280001,10.49656581878662,62263188.0,130023.0,135205.0,2.0,1/1,1.0,房屋建设,20260306
60.0,2849.0,威星智能,9.994385719299316,19.59,190034345.0,3791983798.8,4322220373.44,5.22458028793335,53331032.0,130057.0,130057.0,0.0,1/1,1.0,通用设备,20260306
61.0,603880.0,南卫股份,9.952607154846191,6.96,141079890.0,2011732320.0,2011732320.0,7.145129680633545,11347312.0,130415.0,142006.0,1.0,1/1,1.0,医疗器械,20260306
62.0,509.0,华塑控股,9.91735553741455,3.99,631275856.0,4281767983.92,4281780911.520001,15.51398468017578,10759434.0,131054.0,144703.0,8.0,2/2,2.0,光学光电,20260306
63.0,2648.0,卫星化学,10.016353607177734,26.91,2718043744.0,90592043671.35,90650255679.36,3.103553056716919,107081698.0,131654.0,132551.0,1.0,1/1,1.0,化学原料,20260306
64.0,600319.0,亚星化学,10.062111854553224,8.86,102570876.0,3435105142.24,3435105213.12,3.083056926727295,96754735.0,131828.0,131828.0,0.0,1/1,1.0,化学原料,20260306
65.0,301218.0,华是科技,20.0062313079834,38.51,426264048.0,2698350874.3599997,4391680400.0,16.91001319885254,66025395.0,132715.0,132715.0,0.0,1/1,1.0,IT服务Ⅱ,20260306
66.0,600722.0,金牛化工,10.0,13.53,2118469008.0,9204725216.28,9204725270.4,24.724443435668945,42556747.0,132717.0,132932.0,2.0,5/3,1.0,化学原料,20260306
67.0,1896.0,豫能控股,9.972298622131348,15.88,3637322080.0,24229407520.4,24229407488.64,15.494330406188965,39774572.0,133706.0,145648.0,6.0,12/8,1.0,电力,20260306
68.0,2637.0,赞宇科技,10.03773593902588,14.58,164788563.0,6454903527.0,6858446696.64,2.669208526611328,134054322.0,133821.0,133821.0,0.0,1/1,1.0,化学制品,20260306
69.0,833.0,粤桂股份,9.98746395111084,26.32,1619723680.0,11941437324.32,21110804135.68,14.242501258850098,111586772.0,134048.0,134048.0,0.0,1/1,1.0,综合Ⅱ,20260306
70.0,1326.0,联域股份,10.005019187927246,65.75,121363672.0,1584793881.75,4812900000.0,7.954971790313721,80348801.0,140612.0,140612.0,0.0,1/1,1.0,照明设备,20260306
71.0,605399.0,晨光新材,9.980172157287598,16.64,218020126.0,5183814737.92,5195096657.92,4.381244659423828,170970176.0,143051.0,143051.0,0.0,1/1,1.0,化学制品,20260306
