序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1,002364,中恒电气,9.994304656982422,38.63,579812768,21559548248.800003,21770514404.800003,2.68935489654541,720067410,092500,092500,0,3/3,3,其他电源,20260413
2,002297,博云新材,10.018214225769043,12.08,117103327,6923106213.52,6923106177.28,1.6914852857589722,659582689,092500,092500,0,1/1,1,航空装备,20260413
3,002439,启明星辰,10.030863761901855,14.26,391179632,10389824606.26,17274566966.079998,3.766709566116333,118164249,092500,093133,1,1/1,1,软件开发,20260413
4,000791,甘肃能源,10.041265487670898,8.0,317743328,15485058288.0,25950717952.0,2.0529775619506836,128860832,093000,093000,0,1/1,1,电力,20260413
5,600743,华远控股,10.188679695129395,2.92,236109210,6850614552.08,6850614569.599999,3.4530863761901855,105208800,093024,093024,0,5/5,5,一般零售,20260413
6,000612,焦作万方,10.016286849975586,13.51,1159265328,16106613812.94,16106613785.92,7.22521448135376,46931038,093039,093854,1,1/1,1,工业金属,20260413
7,002418,康盛股份,10.017574310302734,6.26,1146757792,7113847335.88,7113864000.0,16.28459930419922,155255493,093045,095130,3,2/2,2,家电零部,20260413
8,002943,宇晶股份,10.0,51.26,298779296,7464160671.219999,10535033935.359999,4.054169654846191,81665945,093112,093112,0,1/1,1,通用设备,20260413
9,002321,华英农业,10.194174766540527,2.27,85425441,4821961430.68,4841660445.28,1.8098663091659546,130413089,093218,093218,0,1/1,1,养殖业,20260413
10,603803,瑞斯康达,10.021629333496094,15.26,685450992,6483723079.82,6483723003.5199995,10.785486221313477,181024420,093427,093427,0,1/1,1,通信设备,20260413
11,002580,圣阳股份,10.010537147521973,20.88,2074911504,9444834144.0,9476784552.96,22.580211639404297,207604035,093448,093906,2,3/3,3,电池,20260413
12,600654,中安科,10.049019813537598,4.49,1333705952,10405268885.27,12920396557.12,13.208992004394531,110096528,093450,093635,1,6/4,1,软件开发,20260413
13,600152,维科技术,9.969481468200684,10.81,757137200,5719348043.75,5719348054.56,13.49443531036377,82984046,093728,094034,2,1/1,1,电池,20260413
14,600337,美克家居,9.897611618041992,3.22,569830320,4627134001.14,4627134023.68,12.5367431640625,40005421,094019,100143,3,3/2,1,家居用品,20260413
15,002980,华盛昌,9.998113632202148,58.31,503949744,5912047634.64,11043981639.6,8.725777626037598,97982899,094048,094048,0,6/3,1,电网设备,20260413
16,002678,珠江钢琴,10.056926727294922,5.8,164606770,7873931798.4,7878257856.0,2.1650867462158203,124797596,094103,094103,0,1/1,1,文娱用品,20260413
17,000026,飞亚达,9.986595153808594,16.41,179274295,5982441628.53,6658587240.0,3.078427314758301,121481392,094103,094103,0,1/1,1,饰品,20260413
18,688135,利扬芯片,20.00673484802246,35.63,1376213296,8305493417.830001,8305493417.830001,16.93588638305664,28052888,094238,133826,4,1/1,1,半导体,20260413
19,000402,金 融 街,10.071942329406738,3.06,437293648,9145321546.32,9146125506.24,4.907402515411377,28033896,094257,094342,1,2/2,2,房地产开,20260413
20,002124,天邦食品,10.21276569366455,2.59,241672545,5108398538.32,5754808645.599999,4.828060150146484,51532564,094309,094900,2,1/1,1,养殖业,20260413
21,603897,长城科技,10.013459205627441,40.87,562516272,8437026282.469999,8437026282.469999,6.811522960662842,50469954,094324,100300,4,1/1,1,电网设备,20260413
22,001299,美能能源,9.986945152282715,16.85,362239744,3680038635.15,4088460511.1000004,10.202108383178711,177922402,094427,094618,1,2/2,2,燃气Ⅱ,20260413
23,603256,宏和科技,10.002463340759277,89.3,1582921680,78559665750.0,80779569806.4,2.0737783908843994,230483210,094442,094519,1,1/1,1,玻璃玻纤,20260413
24,603738,泰晶科技,10.007819175720215,28.14,1166726448,10858874024.880001,10858873912.32,10.97087574005127,101577126,094520,101659,2,1/1,1,元件,20260413
25,600773,西藏城投,10.0,19.36,839997232,18422721706.399998,18422721687.04,4.645917892456055,69396326,095119,095947,1,1/1,1,房地产开,20260413
26,603950,长源东谷,10.00607681274414,54.31,1482965072,17575085308.0,17603543748.0,8.698592185974121,17617349,095433,110506,2,4/4,4,汽车零部,20260413
27,002515,金字火腿,10.052909851074219,6.24,627838304,7554141965.76,7554232358.400001,8.42129135131836,57665886,095700,131618,2,1/1,1,食品加工,20260413
28,002957,科瑞技术,10.0,41.36,1115824880,17316557732.32,17370474711.04,6.727055072784424,112141311,095945,095945,0,5/3,1,自动化设,20260413
29,688667,菱电电控,19.998212814331055,134.35,543619024,7079634647.95,7079634647.95,7.93649435043335,33672274,100814,135129,2,1/1,1,汽车零部,20260413
30,000010,美丽生态,10.133333206176758,4.13,191687285,3527157673.5499997,4748063949.44,5.59124755859375,127900731,100918,100918,0,1/1,1,基础建设,20260413
31,688813,泰金新能,20.0,57.6,511184208,1732433817.6000001,9216000000.0,31.221094131469727,45345081,101343,101343,0,1/1,1,专用设备,20260413
32,600396,华电辽能,9.939759254455566,7.3,1710724288,10750759764.1,10750759756.8,16.498483657836914,61930572,101855,104537,3,1/1,1,电力,20260413
33,003018,金富科技,10.015503883361816,35.48,470033664,8422508499.999999,9224800000.0,5.791379451751709,50441916,102012,102012,0,1/1,1,包装印刷,20260413
34,600176,中国巨石,10.003425598144531,32.11,3768517952,128540720336.08,128540720592.95999,3.0219783782958984,289218430,102617,102617,0,1/1,1,玻璃玻纤,20260413
35,002929,润建股份,10.0,56.98,1009068976,11997751136.14,16187054354.24,8.770766258239746,219380977,102739,102739,0,4/2,1,通信服务,20260413
36,002080,中材科技,10.004387855529785,50.14,3112835216,84141116501.76,84141116501.76,3.812767267227173,184853695,103439,112709,1,1/1,1,玻璃玻纤,20260413
37,002467,二六三,10.069930076599121,7.87,2731317344,10757376741.59,10824176632.64,26.05551528930664,95790019,103857,131648,1,1/1,1,通信服务,20260413
38,603800,洪田股份,9.997706413269043,47.97,582035600,9977760000.0,9977760000.0,6.0712571144104,78833898,104336,104336,0,1/1,1,专用设备,20260413
39,600815,厦工股份,9.97304630279541,4.08,506804464,7238305478.400001,7238305478.400001,7.366042613983154,66035061,105032,105032,0,4/2,1,工程机械,20260413
40,688081,兴图新科,20.0,49.92,260443714,5143756800.0,5143756800.0,5.416158676147461,57930213,111433,111433,0,1/1,1,军工电子,20260413
41,603177,德创环保,10.0,12.1,82353112,2470723200.0,2470723200.0,3.4858858585357666,72393090,111635,111635,0,1/1,1,环境治理,20260413
42,600527,江南高纤,10.196078300476074,2.81,572999552,4866248134.62,4866248117.76,12.243356704711914,21218512,130012,130012,0,1/1,1,纺织制造,20260413
43,600982,宁波能源,10.076045989990234,5.79,630578176,6471063138.15,6471063155.52,10.205678939819336,97023041,130218,130218,0,1/1,1,电力,20260413
44,603682,锦和商管,9.984151840209961,6.94,77032251,3279150000.0,3279150000.0,2.459068775177002,72591012,130301,130301,0,1/1,1,一般零售,20260413
45,000688,国城矿业,9.992688179016113,45.13,1174148720,53481910610.18,53482105842.560005,2.2661941051483154,52283105,130318,131221,1,1/1,1,工业金属,20260413
46,002240,盛新锂能,10.004903793334961,44.86,3008559328,40953085268.92,41060083097.92,7.6340227127075195,234212400,130421,130421,0,1/1,1,能源金属,20260413
47,600166,福田汽车,9.880239486694336,3.67,2548150320,29056859346.89,29056859174.399998,9.166126251220703,63707897,130638,131047,1,1/1,1,商用车,20260413
48,603350,安乃达,10.00865364074707,38.14,155077893,1678160000.0,4443081160.0,9.522154808044434,116270972,131121,131121,0,1/1,1,电机Ⅱ,20260413
49,000968,蓝焰控股,10.054054260253906,10.18,1165514528,9849177078.8,9849177038.08,12.324811935424805,18558140,131345,142418,8,1/1,1,油气开采,20260413
50,301667,纳百川,20.004423141479492,108.52,1026627728,2441098690.68,12118384992.0,44.60764694213867,125715102,132048,132048,0,1/1,1,汽车零部,20260413
51,600299,安迪苏,10.0,15.18,521288912,40711261324.14,46751049227.52,1.3474154472351074,40217983,132409,132409,0,1/1,1,化学制品,20260413
52,601908,京运通,10.120482444763184,4.57,1112633984,11034735074.77,11034735088.480001,10.423062324523926,38365607,133441,145235,3,1/1,1,电力,20260413
53,603283,赛腾股份,9.997821807861328,50.5,1053346336,13694288666.5,13694288616.0,8.039661407470703,60852096,134022,134043,1,1/1,1,自动化设,20260413
54,002902,铭普光磁,10.010686874389648,30.88,1755867024,5485283756.48,7257079834.559999,33.684661865234375,130116987,134300,134300,0,4/2,1,通信设备,20260413
55,002876,三利谱,9.99281120300293,30.6,442770528,4557613510.8,5320878919.2,10.076945304870605,153946641,135145,135145,0,1/1,1,光学光电,20260413
56,600032,浙江新能,10.0,9.79,990651392,23541771421.96,23541771461.12,4.397583484649658,70860999,135607,135607,0,1/1,1,电力,20260413
57,001203,大中矿业,10.002577781677246,42.67,1663694768,55725915785.740005,65416542033.44,3.120581865310669,124723556,141306,141306,0,1/1,1,冶钢原料,20260413
58,002436,兴森科技,9.982563972473145,25.23,4947290368,38109845768.88,42882764120.64,13.520153045654297,44024760,141927,145615,5,1/1,1,元件,20260413
59,605255,天普股份,9.99905014038086,115.84,561332720,15531827200.0,15531827200.0,3.804720401763916,37485824,144841,144841,0,2/2,2,汽车零部,20260413
