序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1.0,617.0,中油资本,10.022522926330566,9.77,4134609392.0,123513112601.83,123513111595.52,3.3493659496307373,226347686.0,92500.0,110933.0,5.0,1/1,1.0,多元金融,20260316
2.0,2086.0,东方海洋,10.132158279418944,2.5,212411798.0,3953215092.5,4897366240.0,5.373140335083008,127430167.0,92500.0,92500.0,0.0,1/1,1.0,医疗器械,20260316
3.0,600396.0,华电辽能,10.051546096801758,4.27,336687296.0,6288458108.589999,6288458104.32,5.35405158996582,194499422.0,92500.0,92500.0,0.0,1/1,1.0,电力,20260316
4.0,600370.0,三房巷,9.89011001586914,3.0,500375600.0,11690042151.0,11690042160.0,4.28670597076416,54804750.0,93002.0,93008.0,1.0,3/3,3.0,化学纤维,20260316
5.0,600227.0,赤天化,10.068650245666504,4.81,2089693216.0,6145255052.429999,8122780140.799999,34.47534942626953,28707494.0,93130.0,144354.0,5.0,7/4,2.0,农化制品,20260316
6.0,600302.0,标准股份,10.038986206054688,11.29,137333517.0,3906450687.16,3906450732.32,3.5572402477264404,51887711.0,93130.0,93206.0,1.0,1/1,1.0,专用设备,20260316
7.0,2310.0,东方新能,9.926470756530762,2.99,1572789440.0,12555158653.830002,17937973114.88,12.733926773071287,14955367.0,93236.0,141151.0,8.0,1/1,1.0,电力,20260316
8.0,2427.0,尤夫股份,10.01430606842041,7.69,284497648.0,7572385187.34,7577978108.96,3.81518030166626,100360267.0,93409.0,93409.0,0.0,1/1,1.0,化学纤维,20260316
9.0,600683.0,京投发展,10.045661926269531,9.64,230542787.0,7141096035.080001,7141096064.0,3.2924816608428955,124793521.0,93454.0,93454.0,0.0,2/2,2.0,房地产开,20260316
10.0,2278.0,神开股份,10.0,13.75,517773360.0,4592454088.75,5363021400.0,11.421939849853516,112314152.0,93509.0,93509.0,0.0,1/1,1.0,专用设备,20260316
11.0,2724.0,海洋王,10.053619384765623,8.21,249140611.0,4661535900.440001,6333998580.000001,5.43251895904541,122649469.0,93612.0,93612.0,0.0,1/1,1.0,照明设备,20260316
12.0,600313.0,农发种业,10.060606002807615,9.08,1652427584.0,9826363860.04,10545275629.44,17.012407302856445,75630952.0,93913.0,104925.0,9.0,1/1,1.0,种植业,20260316
13.0,1278.0,一彬科技,9.99131202697754,25.32,123952585.0,2160071380.32,3132929688.0,5.878108501434326,133995136.0,94424.0,94424.0,0.0,1/1,1.0,汽车零部,20260316
14.0,603738.0,泰晶科技,9.995654106140137,25.31,1140182672.0,9766812422.52,9766812321.28,11.971078872680664,90398208.0,94809.0,131845.0,1.0,1/1,1.0,元件,20260316
15.0,603929.0,亚翔集成,9.997870445251465,154.91,1410204032.0,33051597600.0,33051597600.0,4.3436102867126465,181178553.0,94908.0,101502.0,1.0,2/2,2.0,专业工程,20260316
16.0,20.0,深华发Ａ,10.006901741027832,15.94,113245908.0,2887776332.54,4513590038.08,3.964749574661255,62424228.0,94939.0,94939.0,0.0,1/1,1.0,光学光电,20260316
17.0,600545.0,卓郎智能,9.921670913696287,4.21,714124864.0,7527110454.62,7527110463.04,9.821280479431152,58643952.0,95636.0,103327.0,2.0,1/1,1.0,专用设备,20260316
18.0,603421.0,鼎信通讯,10.021322250366213,10.32,859430640.0,6730606073.52,6730606083.84,13.144960403442385,31639943.0,95820.0,110150.0,1.0,5/3,1.0,通信设备,20260316
19.0,639.0,西王食品,10.175437927246094,3.14,340685056.0,3389400064.08,3389404221.44,10.323563575744627,88731790.0,95930.0,95930.0,0.0,1/1,1.0,食品加工,20260316
20.0,2467.0,二六三,9.941520690917969,7.52,1593076496.0,10278967356.64,10342796477.44,15.848691940307615,131113275.0,100030.0,100909.0,1.0,1/1,1.0,通信服务,20260316
21.0,533.0,顺钠股份,10.023585319519045,18.66,3585523088.0,12780278784.0,12890626560.0,29.58965110778809,115752607.0,100118.0,101324.0,4.0,9/5,1.0,电网设备,20260316
22.0,605299.0,舒华体育,9.968354225158691,13.9,258589790.0,5688248669.7,5688248739.2,4.680033206939697,111041470.0,100157.0,100157.0,0.0,1/1,1.0,文娱用品,20260316
23.0,600152.0,维科技术,10.030706405639648,10.75,646662144.0,5687603281.25,5687603292.0,11.88413906097412,81377199.0,100459.0,100459.0,0.0,1/1,1.0,电池,20260316
24.0,2990.0,盛视科技,9.992401123046877,28.95,199557879.0,3882061482.6,7580619395.099999,5.278224945068359,110032581.0,100924.0,100924.0,0.0,1/1,1.0,计算机设,20260316
25.0,300042.0,朗科科技,20.0,45.6,1540742480.0,9137398680.0,9138240000.0,18.023298263549805,43231353.0,101657.0,102924.0,2.0,1/1,1.0,计算机设,20260316
26.0,603778.0,国晟科技,10.00487995147705,22.54,2113329392.0,14489999980.68,14800713565.12,15.09181785583496,102674208.0,102018.0,102618.0,1.0,4/2,1.0,光伏设备,20260316
27.0,600751.0,海航科技,9.923664093017578,4.32,553229744.0,11116176704.64,12525139192.320002,5.121127605438232,54692496.0,103227.0,103227.0,0.0,1/1,1.0,航运港口,20260316
28.0,2426.0,胜利精密,10.098522186279297,4.47,2194454672.0,15209621512.77,15209737862.4,14.832886695861816,159464568.0,105427.0,105427.0,0.0,1/1,1.0,消费电子,20260316
29.0,2636.0,金安国纪,10.0172119140625,31.96,1507037408.0,23149120727.32,23266880000.0,6.8740034103393555,149885368.0,105606.0,105606.0,0.0,1/1,1.0,元件,20260316
30.0,620.0,盈新发展,9.966776847839355,3.31,1051506512.0,15463488577.65,19435708206.08,7.0580058097839355,153539626.0,112024.0,112024.0,0.0,1/1,1.0,房地产开,20260316
31.0,600667.0,太极实业,9.9609375,11.26,2393492208.0,23550764924.28,23550764901.76,10.568775177001951,184813679.0,112407.0,112407.0,0.0,1/1,1.0,工程咨询,20260316
32.0,605366.0,宏柏新材,9.989806175231934,10.79,560313392.0,7818407942.15,7818407931.36,7.508786201477051,118186549.0,130149.0,130149.0,0.0,1/1,1.0,化学制品,20260316
33.0,601975.0,招商南油,10.068650245666504,4.81,2572568624.0,22512457901.179996,22512457410.56,11.816990852355955,30642874.0,130532.0,133044.0,7.0,1/1,1.0,航运港口,20260316
34.0,2995.0,天地在线,9.991119384765623,24.77,483185760.0,2784574242.16,4395547469.6,17.97272491455078,174543291.0,130851.0,130851.0,0.0,1/1,1.0,广告营销,20260316
35.0,2980.0,华盛昌,9.988616943359377,38.65,519962640.0,3918721335.6,7320354834.0,13.804189682006836,109725804.0,131739.0,131739.0,0.0,1/1,1.0,电网设备,20260316
36.0,603986.0,兆易创新,9.99892234802246,306.16,13600507648.0,204467359681.76,214649525479.68,6.928790092468262,747202461.0,132534.0,133601.0,1.0,1/1,1.0,半导体,20260316
37.0,300606.0,金太阳,20.00589179992676,40.73,895933152.0,4792881814.78,5634906952.98,20.0333309173584,153805888.0,132803.0,132803.0,0.0,1/1,1.0,通用设备,20260316
38.0,603052.0,可川科技,10.0,64.13,602739184.0,12049852694.66,12049852694.66,5.275407314300537,107101973.0,135714.0,135714.0,0.0,1/1,1.0,消费电子,20260316
39.0,890.0,法尔胜,10.00901699066162,12.2,1531178816.0,5117790761.2,5117948409.599999,31.123615264892575,2543700.0,140833.0,145554.0,4.0,16/9,3.0,环保设备,20260316
40.0,603175.0,超颖电子,10.003742218017578,88.19,693139920.0,3880298972.52,38541616436.32,18.873132705688477,59007047.0,141347.0,141347.0,0.0,1/1,1.0,元件,20260316
41.0,2235.0,安妮股份,9.990485191345217,11.56,998810160.0,6399365171.12,6699855649.280001,16.18146324157715,128256708.0,142139.0,142139.0,0.0,1/1,1.0,造纸,20260316
42.0,300051.0,琏升科技,19.956850051879883,11.12,668063376.0,4088557286.8,4136836779.519999,17.544658660888672,108483384.0,144339.0,144339.0,0.0,1/1,1.0,光伏设备,20260316
43.0,603248.0,锡华科技,10.0,31.02,1179755408.0,2149962636.36,14269200000.0,57.86622619628906,54907664.0,144621.0,144715.0,1.0,2/2,2.0,风电设备,20260316
44.0,2831.0,裕同科技,10.011573791503906,38.02,1317657232.0,19427962186.38,34997923422.08,7.3264594078063965,18511709.0,145509.0,145509.0,0.0,4/2,1.0,包装印刷,20260316
