序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1.0,2490.0,山东墨龙,10.046948432922363,11.72,1099410624.0,6348981840.0,9350783248.0,17.388851165771484,117840486.0,92500.0,93933.0,2.0,7/4,3.0,专用设备,20260304
2.0,600759.0,洲际油气,9.986684799194336,8.26,5433027840.0,34226844542.8,34270816652.8,15.881464004516602,559108653.0,92501.0,134234.0,2.0,7/5,3.0,油气开采,20260304
3.0,600871.0,石化油服,10.051546096801758,4.27,5116237568.0,57845742738.77,80946585395.2,9.231719017028809,10787625.0,92501.0,150000.0,2.0,7/4,3.0,油服工程,20260304
4.0,603318.0,水发燃气,10.0,10.67,1758745040.0,4898286759.08,4898286801.76,36.56828308105469,22636042.0,92502.0,141435.0,6.0,4/4,4.0,燃气Ⅱ,20260304
5.0,688525.0,佰维存储,19.99863624572754,175.99,6534871552.0,82210509642.90001,82210509994.88,7.991421699523926,808979744.0,92503.0,93239.0,1.0,1/1,1.0,半导体,20260304
6.0,533.0,顺钠股份,10.017889022827148,12.3,701868480.0,8424299520.000001,8497036800.000001,8.393006324768066,185046771.0,93136.0,93336.0,2.0,1/1,1.0,电网设备,20260304
7.0,2272.0,川润股份,10.02610969543457,21.07,2999496656.0,8143404307.36,10216364626.72,37.52440643310547,83451000.0,93315.0,134742.0,3.0,1/1,1.0,通用设备,20260304
8.0,600545.0,卓郎智能,9.935897827148438,3.43,590900416.0,6132538921.46,6132538928.320001,9.757852554321287,41683075.0,93526.0,131556.0,4.0,1/1,1.0,专用设备,20260304
9.0,1309.0,德明利,10.0,251.57,4878285312.0,40471558716.38,57067562183.06,12.161812782287598,131317275.0,93606.0,130809.0,16.0,1/1,1.0,半导体,20260304
10.0,2339.0,积成电子,10.009532928466797,11.54,353268752.0,5525278190.16,5817224818.879999,6.52254581451416,105424870.0,93618.0,93618.0,0.0,1/1,1.0,电网设备,20260304
11.0,2498.0,汉缆股份,10.013531684875488,8.13,1857917680.0,27046851480.000004,27046851480.000004,6.983823776245117,118204378.0,93824.0,112236.0,4.0,9/5,1.0,电网设备,20260304
12.0,600821.0,金开新能,10.06993007659912,7.87,2237801776.0,15718463375.11,15718463398.72,14.525784492492676,116078171.0,93828.0,133419.0,3.0,4/2,1.0,电力,20260304
13.0,300617.0,安靠智电,19.99629783630371,64.81,1754177600.0,9003646552.44,10739513703.84,20.080066680908203,46523534.0,93954.0,133936.0,7.0,1/1,1.0,电网设备,20260304
14.0,300265.0,通光线缆,20.0,17.88,1371381568.0,8355354574.799999,8360711744.639999,17.230470657348633,146017985.0,95103.0,95103.0,0.0,1/1,1.0,电网设备,20260304
15.0,600313.0,农发种业,10.0,9.24,1997836608.0,9999515646.12,10731095464.32,20.3508243560791,75246864.0,95202.0,104756.0,3.0,1/1,1.0,种植业,20260304
16.0,605268.0,王力安防,10.028653144836426,11.52,103976968.0,5042260800.0,5141404753.92,2.097440004348755,66132864.0,95406.0,95406.0,0.0,1/1,1.0,家居用品,20260304
17.0,603530.0,神马电力,10.0,67.21,1018691968.0,28729907460.539997,29013520352.96,3.629029273986816,113920950.0,95749.0,131902.0,1.0,5/3,1.0,电网设备,20260304
