序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1,603272,联翔股份,-100.0,0.0,0,0.0,0.0,0.0,0,000000,000000,0,2/2,2,家居用品,20260428
2,001266,宏英智能,10.012247085571289,35.93,28396916,2088916376.86,3721896791.06,1.359408974647522,272189870,092500,092500,0,1/1,1,自动化设,20260428
3,002218,拓日新能,10.019268035888672,5.71,455824592,7923640517.79,8041393822.24,5.753162384033203,129917226,092500,093703,1,1/1,1,电力,20260428
4,603317,天味食品,10.014005661010742,15.71,400011648,16726669413.740002,16726669508.0,2.391493320465088,24439654,092501,102046,4,1/1,1,调味发酵,20260428
5,603629,利通电子,10.0,119.35,746833584,30655286200.0,31307892000.0,2.4362308979034424,552398585,092502,092502,0,1/1,1,消费电子,20260428
6,301261,恒工精密,20.0,89.76,525346432,3364502892.96,7889023992.96,15.632918357849121,220220415,093000,093000,0,1/1,1,通用设备,20260428
7,300905,宝丽迪,20.0,67.02,520679152,9359090401.619999,11997631945.92,5.585171699523926,134083563,093000,093000,0,1/1,1,化学纤维,20260428
8,603318,水发燃气,9.976058006286621,13.78,1883937680,6325997332.719999,7643396916.48,30.67868423461914,81561477,093103,130500,3,7/6,5,燃气Ⅱ,20260428
9,002175,东方智造,9.885931968688965,2.89,346688928,3689896301.03,3689896280.8,9.490400314331055,24549683,093124,095445,6,2/2,2,通用设备,20260428
10,000889,中嘉博创,10.089685440063477,4.91,1184601184,4270939666.86,4597189399.2,28.548583984375,47403889,093142,142430,1,3/2,1,通信服务,20260428
11,603095,越剑智能,10.026247024536133,20.96,172350788,5413322432.0,5413322432.0,3.2344422340393066,26306309,093246,093246,0,2/2,2,专用设备,20260428
12,601828,美凯龙,10.204081535339355,2.7,179974637,9753486045.300001,11754957081.6,1.8587995767593384,40230650,093322,093322,0,1/1,1,一般零售,20260428
13,601789,宁波建工,9.926470756530762,5.98,446804416,6499055568.200001,9115863394.560001,6.935007095336914,123425406,093400,093400,0,1/1,1,房屋建设,20260428
14,002923,润都股份,9.968101501464844,13.79,234087566,3558989847.0699997,4618178331.2,6.6341753005981445,100826964,093442,093442,0,1/1,1,化学制药,20260428
15,603259,药明康德,9.99800968170166,110.57,5924749824,273470596800.21997,329914028296.63995,2.1767539978027344,844971185,093541,093541,0,1/1,1,医疗服务,20260428
16,002902,铭普光磁,9.996504783630371,31.47,994813536,5590080487.62,7395735181.139999,18.228708267211914,157883573,093542,093542,0,2/2,2,通信设备,20260428
17,603399,永杉锂业,10.020590782165527,16.03,875047696,8212019103.47,8212019215.68,10.784236907958984,82522440,093547,094044,3,1/1,1,能源金属,20260428
18,605289,罗曼股份,10.000702857971191,156.52,1368165136,16956985500.000002,17061853900.000002,8.15430736541748,38323922,093616,103555,6,2/2,2,专业工程,20260428
19,002412,汉森制药,10.01540756225586,7.14,189783281,3554613300.0,3592848000.0,5.41733455657959,80025834,093651,093651,0,1/1,1,中药Ⅱ,20260428
20,605287,德才股份,10.004058837890625,54.21,835731008,7589400000.0,7589400000.0,11.134014129638672,7500495,093714,110150,12,2/2,2,装修装饰,20260428
21,600227,赤天化,10.05434799194336,4.05,1024346752,5174279202.15,6839347104.0,20.105396270751953,33178005,093740,094458,2,1/1,1,农化制品,20260428
22,002821,凯莱英,9.99830150604248,129.49,1255814176,41054009172.420006,46729700642.240005,3.1111013889312744,203361714,093957,093957,0,1/1,1,医疗服务,20260428
