序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1,300067,安诺其,19.966997146606445,7.27,235304419,6815506360.87,8392303167.5199995,3.452486276626587,539730652,092500,092500,0,3/3,3,化学制品,20260423
2,002606,大连电瓷,9.975268363952637,13.34,305371344,5618035013.7,5857236701.44,5.435554504394531,104664239,092500,092500,0,1/1,1,电网设备,20260423
3,300721,怡达股份,20.013566970825195,17.69,398272624,2447441024.61,2916138812.9100003,16.33856773376465,59962377,092500,095227,1,1/1,1,化学制品,20260423
4,603315,福鞍股份,10.028169631958008,19.53,257376203,6256753135.92,6256753292.160001,4.113574504852295,88763752,092501,092501,0,6/3,1,环境治理,20260423
5,600736,苏州高新,9.986859321594238,8.37,252220048,9636321631.589998,9636321673.439999,2.61738920211792,238108780,092502,092502,0,3/3,3,房地产开,20260423
6,603318,水发燃气,9.989372253417969,10.35,136479095,4751384063.4,5740867785.599999,2.8724071979522705,160476894,092502,092502,0,4/3,2,燃气Ⅱ,20260423
7,603390,通达电气,10.033166885375977,13.27,116085960,4651320156.309999,4666421827.68,2.4957637786865234,66975017,092503,092503,0,1/1,1,汽车零部,20260423
8,300590,移为通信,20.032976150512695,14.56,784507872,5159906213.28,6696399324.16,15.23819637298584,94859870,093000,094248,1,1/1,1,通信设备,20260423
9,002081,金 螳 螂,9.919028282165527,5.43,1792060288,14360204547.269999,14418407669.279999,12.503271102905273,179601105,093033,101548,3,5/5,5,装修装饰,20260423
10,001314,亿道信息,10.002267837524414,48.5,478823456,6032881583.5,6917749000.0,8.026819229125977,67239139,093051,101815,1,1/1,1,消费电子,20260423
11,601101,昊华能源,9.988248825073242,9.36,527597536,13478380587.359999,13478380531.199999,3.9417078495025635,34544624,093340,100355,1,1/1,1,煤炭开采,20260423
12,601512,中新集团,9.980620384216309,11.35,423761888,17012401500.0,17012401500.0,2.549679756164551,43457254,093439,095127,1,2/2,2,房地产开,20260423
13,603618,杭电股份,10.017513275146484,31.41,3175590352,21716108098.56,21716108098.56,14.795183181762695,86088528,093507,130543,9,2/2,2,电网设备,20260423
14,300061,旗天科技,19.951040267944336,9.8,333729552,6097263109.0,6458138064.0,5.548032760620117,94985588,093551,093551,0,1/1,1,广告营销,20260423
15,002429,兆驰股份,9.991602897644043,13.1,4864522752,59268762535.799995,59302922803.2,8.256549835205078,12476440,093557,145506,44,1/1,1,黑色家电,20260423
16,000537,绿发电力,10.009443283081055,11.65,1614221552,23949113523.350002,23949113581.600002,6.887112617492676,97962345,093706,134200,1,1/1,1,电力,20260423
17,002787,华源控股,10.016977310180664,19.44,609312288,4876720616.16,6515832948.4800005,12.66485595703125,34923960,093709,130142,12,1/1,1,包装印刷,20260423
18,000890,法尔胜,9.973752975463867,16.76,1918437056,7030669930.960001,7030886503.68,27.689687728881836,21027096,093718,145100,7,1/1,1,环保设备,20260423
19,002301,齐心集团,10.044313430786133,7.45,185660249,5349027161.35,5373744123.2,3.522984504699707,54191530,093918,093918,0,1/1,1,文娱用品,20260423
20,001234,泰慕士,10.013531684875488,32.52,313554192,2975108460.0000005,3558133524.0000005,10.845871925354004,197939484,093945,094006,1,2/2,2,服装家纺,20260423
21,603308,应流股份,10.006627082824707,83.0,3407925584,56360440433.0,56360440848.0,6.084112644195557,16509613,094144,143405,15,1/1,1,通用设备,20260423
22,600986,浙文互联,9.97280216217041,12.13,3618426304,18041847372.06,18041847396.32,20.341468811035156,165028298,094429,130041,3,1/1,1,广告营销,20260423
23,603198,迎驾贡酒,10.008458137512207,39.02,661652368,31216000000.000004,31216000000.000004,2.136181592941284,31118450,094511,094511,0,1/1,1,白酒Ⅱ,20260423
24,002793,罗欣药业,9.9609375,5.63,275835728,6113806274.97,6123123142.4,4.625448703765869,78633129,095018,095018,0,1/1,1,化学制药,20260423
25,600770,综艺股份,10.06944465637207,6.34,310128768,8242000000.0,8242000000.0,3.8743224143981934,76658899,095105,095105,0,1/1,1,综合Ⅱ,20260423
26,000715,中兴商业,9.983360290527344,6.61,398527776,3214792867.3,3572272864.6400003,12.750810623168945,23900438,095903,100242,2,3/2,1,一般零售,20260423
27,600186,莲花控股,10.011641502380371,9.45,2991665520,16907356849.949999,16941625847.999998,18.139236450195312,182722365,100041,111653,3,1/1,1,调味发酵,20260423
28,603912,佳力图,9.980806350708008,11.46,775158640,6209609549.160001,6209609617.92,12.825434684753418,40781785,100131,100131,0,4/2,1,通用设备,20260423
29,000593,德龙汇能,10.028011322021484,19.64,596914208,7040609439.16,7043512997.12,8.751604080200195,65150515,100427,101215,1,1/1,1,燃气Ⅱ,20260423
30,603017,中衡设计,10.026738166809082,16.46,636803088,4546092222.780001,4546092140.4800005,14.725826263427734,62521631,100601,100749,1,4/3,1,工程咨询,20260423
31,000925,众合科技,10.0,8.36,811260080,5628322414.879999,5654451996.16,14.663450241088867,38482752,101145,111342,5,1/1,1,轨交设备,20260423
32,300970,华绿生物,20.0,42.0,879480432,3979809918.0,5149582200.0,24.157194137573242,31361610,101821,102736,3,1/1,1,种植业,20260423
33,603060,国检集团,9.950248718261719,6.63,135169320,5330261357.07,5330261376.96,2.627936363220215,80454817,101920,101920,0,1/1,1,专业服务,20260423
34,003022,联泓新科,9.991119384765625,24.77,946184656,33053876305.25,33082019360.0,2.9200289249420166,105337174,102942,102942,0,1/1,1,光伏设备,20260423
35,002242,九阳股份,10.028929710388184,11.41,419485456,8690834122.25,8706024061.28,5.038683891296387,72724008,103103,103103,0,4/2,1,小家电,20260423
36,600726,华电能源,10.02087688446045,5.27,1791719792,39395021816.159996,41671661731.84,4.685245990753174,177749722,103458,103458,0,1/1,1,电力,20260423
37,002490,山东墨龙,10.022522926330566,9.77,803180208,5292623940.0,7794978868.0,15.811874389648438,146311602,111151,111151,0,1/1,1,专用设备,20260423
38,603709,中源家居,10.028818130493164,19.09,148095089,2388335964.3,2406813748.0,6.4929962158203125,6705935,112612,112612,0,1/1,1,家居用品,20260423
39,601778,晶科科技,9.938838005065918,7.19,5615563520,25686920230.600002,25686920259.36,23.18737030029297,427448663,131150,131150,0,1/1,1,电力,20260423
40,001267,汇绿生态,10.00216007232666,50.92,3731272928,30839319053.36,39980585098.24,12.860040664672852,204851618,132009,132009,0,1/1,1,通信设备,20260423
41,002008,大族激光,10.002123832702637,103.6,6522707712,99116956775.2,106666913068.79999,6.806477069854736,193174528,132151,133503,1,1/1,1,自动化设,20260423
42,600052,东望时代,10.096153259277344,4.58,444036528,3866411913.78,3866411890.88,11.898357391357422,97296425,133058,133058,0,2/2,2,电力,20260423
43,601016,节能风电,10.073710441589355,4.48,3711002976,27051128899.2,29319041024.000004,14.279150009155273,172643058,133637,133637,0,1/1,1,电力,20260423
44,600310,广西能源,10.0,5.28,1222016960,7738952612.160001,7738952601.6,16.662071228027344,73952244,134259,142450,2,1/1,1,电力,20260423
45,600396,华电辽能,9.955257415771484,9.83,3637955120,14476708011.11,14476708001.28,27.497859954833984,88606538,134322,134322,0,9/5,3,电力,20260423
46,001215,千味央厨,10.012674331665039,43.4,345948048,4200378424.2,4216763356.4,8.512636184692383,67395860,134718,134718,0,1/1,1,食品加工,20260423
47,002971,和远气体,10.0,33.88,511738096,5298877738.0,7174259400.000001,9.968526840209961,21086912,134930,134930,0,1/1,1,化学制品,20260423
48,603220,中贝通信,9.993573188781738,34.23,3210971184,14864756563.019999,18359155345.44,22.524595260620117,110846666,135539,135539,0,1/1,1,通信服务,20260423
49,002448,中原内配,9.98116683959961,17.52,1226812288,7981015405.679999,10308937032.96,15.755472183227539,67508940,140736,141009,1,1/1,1,汽车零部,20260423
