序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1.0,20.0,深华发Ａ,9.974905967712402,17.53,130046340.0,3175829304.23,4963816396.96,4.094878196716309,371406321.0,92500.0,92500.0,0.0,2/2,2.0,光学光电,20260317
2.0,605277.0,新亚电子,10.02150535583496,25.58,367392592.0,8137887749.139999,8287609356.48,4.514594078063965,125641439.0,93000.0,93000.0,0.0,1/1,1.0,消费电子,20260317
3.0,2565.0,顺灏股份,10.0,14.74,1317776352.0,15623573410.28,15624236798.72,8.45085334777832,155120207.0,93000.0,111230.0,1.0,1/1,1.0,包装印刷,20260317
4.0,600683.0,京投发展,9.95850658416748,10.6,481310816.0,7852242528.2,7852242560.0,6.166497707366943,59480840.0,93040.0,94013.0,2.0,3/3,3.0,房地产开,20260317
5.0,600545.0,卓郎智能,9.97624683380127,4.63,642288736.0,8278033587.86,8278033597.12,7.828392505645752,30953837.0,93049.0,93328.0,1.0,10/5,2.0,专用设备,20260317
6.0,600569.0,安阳钢铁,10.15625,2.82,242742276.0,8100228308.52,8100228325.44,3.0255088806152344,15975629.0,93128.0,93155.0,1.0,1/1,1.0,普钢,20260317
7.0,600307.0,酒钢宏兴,10.0,2.2,434805824.0,13779386332.8,13779386368.000002,3.209782600402832,185389399.0,93306.0,93306.0,0.0,3/2,1.0,普钢,20260317
8.0,600396.0,华电辽能,10.070257186889648,4.7,841329600.0,6921722039.900001,6921722035.2,12.534735679626465,105171430.0,93329.0,94038.0,1.0,2/2,2.0,电力,20260317
9.0,42.0,中洲控股,9.95370388031006,9.5,78331314.0,6309246419.0,6315895792.0,1.2670142650604248,38584848.0,93406.0,93406.0,0.0,1/1,1.0,房地产开,20260317
10.0,600370.0,三房巷,10.0,3.3,805141840.0,12859046366.099998,12859046376.0,6.517078876495361,56623759.0,93452.0,95607.0,4.0,4/4,4.0,化学纤维,20260317
11.0,2506.0,协鑫集成,9.9609375,5.63,5317582336.0,32904148089.51,32937282142.72,16.35757827758789,199572375.0,93454.0,95709.0,2.0,1/1,1.0,光伏设备,20260317
12.0,2323.0,雅博股份,10.0,2.75,518767904.0,5831050291.0,5832351624.0,9.185709953308104,82899539.0,93642.0,93642.0,0.0,3/2,1.0,专业工程,20260317
13.0,600691.0,潞化科技,10.023309707641602,4.72,1930637088.0,11212765693.44,11214634813.44,17.583171844482422,30721314.0,93717.0,112753.0,7.0,4/3,1.0,农化制品,20260317
14.0,600408.0,安泰集团,9.974424362182615,4.3,552601616.0,4329240000.0,4329240000.0,13.023843765258787,43380059.0,93918.0,94118.0,1.0,3/2,1.0,焦炭Ⅱ,20260317
15.0,600227.0,赤天化,9.979209899902344,5.29,2315337472.0,6758502957.87,8933369427.2,35.969032287597656,77712369.0,94030.0,142536.0,1.0,12/6,3.0,农化制品,20260317
16.0,572.0,海马汽车,10.0,6.82,760246736.0,11200165916.94,11216420466.24,6.909920692443848,83828030.0,94048.0,94048.0,0.0,1/1,1.0,乘用车,20260317
17.0,600791.0,京能置业,9.988248825073242,9.36,167310554.0,4233656194.56,4238956799.999999,4.061318397521973,38109240.0,94928.0,94928.0,0.0,1/1,1.0,房地产开,20260317
18.0,600643.0,爱建集团,10.107526779174805,5.12,460820912.0,8142600785.92,8157034414.08,5.758128643035889,5173760.0,95346.0,95807.0,1.0,1/1,1.0,多元金融,20260317
19.0,2285.0,世联行,10.0,3.41,703898672.0,6737396930.66,6795547026.400001,10.6731538772583,51045995.0,95357.0,131642.0,1.0,1/1,1.0,房地产服,20260317
20.0,603929.0,亚翔集成,9.999354362487791,170.4,1794775040.0,36356544000.0,36356544000.0,5.064891815185547,18880320.0,100306.0,142948.0,26.0,3/3,3.0,专业工程,20260317
21.0,603693.0,江苏新能,9.972298622131348,15.88,529641216.0,14156636974.400002,14156637101.44,3.9261014461517334,169814145.0,101833.0,101833.0,0.0,4/2,1.0,电力,20260317
22.0,2256.0,兆新股份,10.051546096801758,4.27,916266752.0,8331169445.69,8514144227.679999,11.351865768432615,129805472.0,102121.0,102121.0,0.0,1/1,1.0,电力,20260317
23.0,603248.0,锡华科技,9.993552207946776,34.12,999353520.0,2364820282.16,15695199999.999998,43.9037971496582,70108445.0,102136.0,102136.0,0.0,3/3,3.0,风电设备,20260317
24.0,603387.0,基蛋生物,10.023309707641602,9.44,357409120.0,4787529200.48,4787529228.8,7.623419761657715,24273156.0,102401.0,140311.0,2.0,1/1,1.0,医疗器械,20260317
25.0,601016.0,节能风电,9.90338134765625,4.55,4873795328.0,27000384188.05,29303732057.6,18.653331756591797,70952108.0,103602.0,145041.0,3.0,5/3,1.0,电力,20260317
