序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1.0,2578.0,闽发铝业,10.077519416809082,4.26,81713616.0,3668552509.86,3998564549.76,2.227407455444336,89080860.0,92500.0,92500.0,0.0,1/1,1.0,工业金属,20260330
2.0,2675.0,东诚药业,10.030394554138184,14.48,207601208.0,10764200233.12,11940145909.76,1.9286264181137085,84629808.0,92500.0,92500.0,0.0,1/1,1.0,化学制药,20260330
3.0,2160.0,常铝股份,10.020039558410645,5.49,109652319.0,5658704894.610001,5669968612.320001,1.9377635717391968,154079046.0,92500.0,92500.0,0.0,1/1,1.0,工业金属,20260330
4.0,2532.0,天山铝业,9.987592697143556,17.73,446680944.0,72814582623.96,82067516513.28,0.6134498715400696,562884752.0,92500.0,92500.0,0.0,1/1,1.0,工业金属,20260330
5.0,301008.0,宏昌科技,19.98638153076172,35.24,255841592.0,4082315566.16,4615144366.16,6.270468711853027,129762948.0,92500.0,93124.0,1.0,1/1,1.0,家电零部,20260330
6.0,2810.0,山东赫达,9.990394592285156,22.9,605754944.0,7398514504.4,7989166235.2,8.26975154876709,64493453.0,92500.0,95424.0,2.0,1/1,1.0,化学制品,20260330
7.0,688693.0,锴威特,20.0,54.9,389935776.0,2135852328.6,4045263183.9,18.588558197021484,39578068.0,92503.0,94354.0,2.0,1/1,1.0,半导体,20260330
8.0,601068.0,中铝国际,9.982486724853516,6.28,132528819.0,16074229388.76,18763611788.16,0.8256523013114929,36197794.0,93001.0,93146.0,1.0,1/1,1.0,专业工程,20260330
9.0,601388.0,怡球资源,10.055866241455078,3.94,577916192.0,8672817107.039999,8672817138.56,6.749003887176514,44444382.0,93004.0,111704.0,1.0,1/1,1.0,工业金属,20260330
10.0,600502.0,安徽建工,10.107526779174805,5.12,317218656.0,8788653762.56,8788653752.32,3.616438627243042,38176742.0,93021.0,93021.0,0.0,1/1,1.0,基础建设,20260330
11.0,2038.0,双鹭药业,9.984871864318848,7.27,1167837344.0,6193410919.629999,7468834500.0,18.979400634765625,15530901.0,93024.0,145542.0,9.0,4/3,2.0,化学制药,20260330
12.0,603538.0,美诺华,10.005104064941406,43.1,383676544.0,9318042600.4,9501402068.4,4.119560718536377,146882860.0,93027.0,93027.0,0.0,12/7,5.0,化学制药,20260330
13.0,600488.0,津药药业,9.930715560913086,4.76,326920720.0,5197380596.8,5197380634.88,6.402377128601074,52994741.0,93103.0,93954.0,3.0,2/2,2.0,化学制药,20260330
14.0,2501.0,利源股份,10.270270347595217,2.04,270523008.0,7234797180.24,7242000000.0,3.753806591033935,52547803.0,93106.0,94533.0,5.0,1/1,1.0,工业金属,20260330
15.0,2850.0,科达利,10.0,177.32,1439025792.0,35296251201.64,48891714460.16,4.0974440574646,129168222.0,93245.0,93245.0,0.0,1/1,1.0,电池,20260330
16.0,600513.0,联环药业,9.996095657348633,28.17,894201456.0,8041303125.900001,8041303182.240001,11.296412467956545,58042735.0,93345.0,95803.0,6.0,2/2,2.0,化学制药,20260330
17.0,890.0,法尔胜,10.014836311340332,14.83,570319696.0,6221052212.18,6221243845.44,9.397289276123049,149746785.0,93427.0,93445.0,1.0,2/2,2.0,环保设备,20260330
18.0,603618.0,杭电股份,10.008237838745115,26.71,1575221760.0,18466642703.36,18466642703.36,8.67348861694336,148533882.0,93432.0,94947.0,3.0,4/3,2.0,电网设备,20260330
19.0,600127.0,金健米业,9.95607566833496,7.51,285332544.0,4819791967.18,4819791952.16,5.9926629066467285,107259577.0,93432.0,93432.0,0.0,1/1,1.0,农产品加,20260330
20.0,2686.0,亿利达,10.041841506958008,7.89,270012640.0,4124360277.12,4467626783.04,6.61204195022583,175715034.0,93712.0,93712.0,0.0,1/1,1.0,通用设备,20260330
21.0,3042.0,中农联合,10.016695022583008,19.77,277800272.0,2518020778.65,2816829600.0,11.219955444335938,120323185.0,93727.0,93727.0,0.0,2/2,2.0,农化制品,20260330
22.0,603585.0,苏利股份,9.980713844299316,22.81,224121012.0,4168224742.87,4263000292.87,5.492213249206543,51667410.0,94003.0,94003.0,0.0,2/2,2.0,农化制品,20260330
23.0,48.0,京基智农,10.024331092834473,22.61,872839472.0,11900989425.5,11989681808.16,7.431274890899658,17224750.0,94036.0,141909.0,12.0,1/1,1.0,养殖业,20260330
24.0,600343.0,航天动力,9.993247985839844,32.58,2014447040.0,20792762817.84,20792762948.16,9.819109916687012,154815370.0,94114.0,95926.0,2.0,1/1,1.0,通用设备,20260330
25.0,603256.0,宏和科技,10.003049850463867,72.14,2029858784.0,63463541850.0,65256866358.72,3.264004945755005,68745813.0,94729.0,111241.0,5.0,1/1,1.0,玻璃玻纤,20260330
26.0,2370.0,亚太药业,9.954058647155762,7.18,549224720.0,5353892865.4,5353892908.48,10.474406242370604,80168290.0,95630.0,102030.0,2.0,1/1,1.0,化学制药,20260330
27.0,2980.0,华盛昌,10.0,43.78,334146576.0,4438851748.32,8291982784.8,7.777398586273193,170601904.0,95930.0,95930.0,0.0,1/1,1.0,电网设备,20260330
28.0,592.0,平潭发展,10.03787899017334,11.62,4900184064.0,22253374257.379997,22447294011.519997,22.486196517944336,150207219.0,100533.0,104957.0,9.0,4/2,1.0,林业Ⅱ,20260330
29.0,600359.0,新农开发,10.071942329406738,7.65,150179650.0,2918573073.0,2918573042.4,5.326930999755859,65114505.0,100657.0,100657.0,0.0,1/1,1.0,种植业,20260330
30.0,600996.0,贵广网络,9.980039596557615,11.02,1074647552.0,13739734391.08,13739734413.12,8.093911170959473,63269390.0,101014.0,101650.0,1.0,2/2,2.0,电视广播,20260330
31.0,600539.0,狮头股份,9.992961883544922,15.63,817371200.0,3594900000.0,3594900000.0,23.19346046447754,4343264.0,101313.0,142701.0,28.0,5/4,2.0,互联网电,20260330
32.0,3036.0,泰坦股份,9.983766555786133,27.1,478777056.0,5860792529.700001,5860942934.700001,8.545206069946289,32289108.0,102451.0,111112.0,4.0,1/1,1.0,专用设备,20260330
