序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1,000553,安道麦A,10.0,6.82,82223195,14847630774.02,15889316203.2,0.5537799000740051,18418862,092500,092500,0,1/1,1,农化制品,20260430
2,001218,丽臣实业,9.99203872680664,27.63,69071961,3262030127.1,3596825323.7999997,2.117453098297119,46194873,092500,092500,0,1/1,1,化学制品,20260430
3,002591,恒大高新,10.0,8.36,179404819,1868564182.32,2509667719.68,9.618210792541504,31363376,092500,130718,1,1/1,1,化学制品,20260430
4,603045,福达合金,9.990574836730957,46.68,113465076,6322579835.4,6322579835.4,1.7946009635925293,134531760,092503,092503,0,1/1,1,金属新材,20260430
5,603095,越剑智能,10.017345428466797,25.37,95422151,6552289604.0,6552289604.0,1.456317663192749,143294326,092503,092503,0,4/4,4,专用设备,20260430
6,603399,永杉锂业,9.982983589172363,19.39,168504316,9933315684.11,9933315819.84,1.6963552236557007,201951329,092503,092503,0,3/3,3,能源金属,20260430
7,002640,跨境通,9.939759254455566,3.65,257254315,5651156318.25,5686850847.2,4.552265644073486,96373140,093000,093000,0,1/1,1,互联网电,20260430
8,300632,光莆股份,20.009807586669922,24.47,901096192,5412655304.259999,7467794143.5199995,16.649431228637695,67111299,093000,093000,0,2/2,2,光学光电,20260430
9,603030,全筑股份,9.95850658416748,2.65,114174395,3489873828.0,3489873828.0,3.27492618560791,21834145,093001,093131,1,1/1,1,装修装饰,20260430
10,002805,丰元股份,10.014443397521973,22.85,296775904,6370930016.3,6399428399.200001,4.677855491638184,91622490,093009,093009,0,2/2,2,电池,20260430
11,600379,宝光股份,10.032787322998047,16.78,733737712,5540782243.92,5540782311.04,13.275032997131348,154638254,093011,095356,1,3/3,3,电网设备,20260430
12,001316,润贝航科,10.004239082336426,51.9,142763938,5776035856.5,5974490298.0,2.48252272605896,94670790,093036,093303,2,1/1,1,炼化及贸,20260430
13,002645,华宏科技,9.98719596862793,25.77,1171641968,14403562989.27,16173261483.36,8.188773155212402,51527192,093106,100415,2,2/2,2,环保设备,20260430
14,600158,中体产业,10.027854919433594,11.85,795994320,11370229843.949999,11370229903.199999,7.028494358062744,68594400,093132,093411,2,1/1,1,体育Ⅱ,20260430
15,603190,亚通精工,10.019416809082031,28.33,151943899,1164804438.06,3528218200.0,13.0923433303833,10640748,093147,095041,6,1/1,1,汽车零部,20260430
16,000402,金 融 街,10.06944465637207,3.17,385229904,9474033011.99,9474907795.68,4.100040435791016,40558228,093215,093345,1,2/2,2,房地产开,20260430
17,002842,翔鹭钨业,10.00285816192627,38.49,3358460816,10333116197.91,12592866291.84,32.764835357666016,54887509,093251,140100,16,2/2,2,小金属,20260430
18,002453,华软科技,10.0,5.61,108087502,3380868491.55,4557379543.2,3.2345621585845947,56896620,093348,093348,0,1/1,1,化学制品,20260430
19,002990,盛视科技,9.991827011108398,53.83,624391360,7429539246.29,14095500588.539999,8.538057327270508,47989445,093403,094206,1,1/1,1,计算机设,20260430
20,605299,舒华体育,9.991532325744629,25.98,593108656,10631705067.54,10631705197.44,5.657558917999268,35992692,093414,093923,4,2/2,2,文娱用品,20260430
21,688155,先惠技术,19.997682571411133,103.57,719308832,13094977348.56,13094977348.56,5.581643104553223,59937201,093652,093810,1,1/1,1,电池,20260430
22,688699,明微电子,20.004329681396484,55.43,315061344,6100882995.2,6100882995.2,5.294671535491943,56948061,093738,093738,0,1/1,1,半导体,20260430
23,000783,长江证券,10.055096626281738,7.99,2354627440,44185282854.520004,44185281927.68,5.355131149291992,85429247,093739,102318,2,1/1,1,证券Ⅱ,20260430
24,002192,融捷股份,10.001007080078125,109.22,3646203568,28300832791.16,28359541271.66,13.063390731811523,68500818,093748,104918,6,5/3,2,能源金属,20260430
25,600540,新赛股份,10.059171676635742,5.58,259658514,3244083436.8,3244083436.8,8.103034973144531,24059286,093759,094337,1,1/1,1,种植业,20260430
26,600322,津投城开,10.080645561218262,2.73,184752935,3018561000.0,3018561000.0,6.178050994873047,7816536,093850,131005,5,1/1,1,房地产开,20260430
27,603711,香飘飘,10.01540756225586,14.28,198605032,5895842148.0,5895842090.88,3.404920816421509,54142634,094046,094046,0,1/1,1,饮料乳品,20260430
28,688531,日联科技,20.0,120.6,2827475952,13842326536.199999,19970629043.399998,21.01085662841797,42110384,094154,142821,6,2/2,2,专用设备,20260430
29,605099,共创草坪,9.99545669555664,48.42,348438432,19438350483.24,19490954261.760002,1.8273208141326904,19075301,094230,095054,3,2/2,2,家居用品,20260430
30,600052,东望时代,9.90099048614502,4.44,233598761,3748224650.0400004,3748224627.84,6.382085800170898,83035476,094250,095429,2,1/1,1,电力,20260430
31,600208,衢州发展,9.90338134765625,4.55,889784672,38711292333.35,38715680640.0,2.3345754146575928,66178212,094250,094744,4,1/1,1,房地产开,20260430
32,601086,国芳集团,9.975369453430176,8.93,218116983,5947380000.0,5947380000.0,3.713735818862915,56172557,094403,094403,0,1/1,1,一般零售,20260430
33,002235,安妮股份,10.019646644592285,11.2,1171193392,6200076982.4,6491209625.599999,19.14518928527832,97542222,094542,132518,1,1/1,1,造纸,20260430
34,603726,朗迪集团,10.004426956176758,24.85,190548120,4589949070.0,4613432320.0,4.217562675476074,86788625,094701,094701,0,4/2,1,家电零部,20260430
35,000790,华神科技,10.120482444763184,4.57,210409118,2845348785.98,2850397475.2000003,7.489288330078125,64051895,094933,094933,0,1/1,1,中药Ⅱ,20260430
36,603937,丽岛新材,10.028860092163086,15.25,359546800,3185580460.5,3185580460.5,11.520293235778809,5159075,094957,130742,12,5/3,2,工业金属,20260430
37,002181,粤 传 媒,10.006670951843262,16.49,1202389440,18708516844.96,19145849322.239998,6.638779640197754,115661519,095245,095245,0,4/2,1,出版,20260430
38,002763,汇洁股份,10.058479309082031,9.41,215936527,2857009622.0,3857384840.0,7.667964935302734,52386034,095306,095306,0,1/1,1,服装家纺,20260430
39,603698,航天工程,10.007505416870117,43.97,2075940320,23567480300.0,23567480300.0,9.052132606506348,66253996,095409,132533,1,1/1,1,专用设备,20260430
40,002240,盛新锂能,9.994508743286133,60.09,5239227904,54856685104.98,55000008768.48,9.742053031921387,156453508,095512,143009,1,1/1,1,能源金属,20260430
41,605123,派克新材,10.004120826721191,106.77,559704240,12937416138.84,12937416138.84,4.386191368103027,45602000,095525,100049,2,1/1,1,航空装备,20260430
42,300083,创世纪,20.023557662963867,10.19,4039528832,15208933830.66,16964949812.48,26.821542739868164,5175501,095542,145621,16,1/1,1,自动化设,20260430
43,603178,圣龙股份,10.005653381347656,19.46,458440192,4600575204.26,4600575204.26,10.262886047363281,44559508,095653,100205,2,1/1,1,汽车零部,20260430
44,000567,海德股份,10.066006660461426,6.67,1018625312,12996760686.11,13037129707.2,8.008042335510254,13020446,095700,143009,6,2/2,2,多元金融,20260430
45,600433,冠豪高新,10.0,4.84,812017344,8471351487.719999,8471351482.88,9.82376480102539,40704729,095704,102219,4,4/2,1,造纸,20260430
46,603119,浙江荣泰,9.998666763305664,82.51,1855414752,16822096142.330002,30012364301.440002,11.234731674194336,61538433,100131,105749,3,1/1,1,汽车零部,20260430
47,601588,北辰实业,9.89011001586914,2.0,242754616,5320000000.0,6734040000.0,4.669164180755615,8978200,100318,100954,1,1/1,1,房地产开,20260430
48,000980,众泰汽车,10.043667793273926,2.52,744991024,12707102376.36,12707220234.24,6.083803653717041,75978831,100630,100630,0,2/2,2,汽车零部,20260430
49,000066,中国长城,9.988901138305664,19.82,8321457408,63930397789.16,63935337924.16,13.379790306091309,542841080,101627,101627,0,1/1,1,计算机设,20260430
50,600246,万通发展,10.04878044128418,11.28,1812369552,21323852729.28,21916898684.16,8.672855377197266,58386408,101750,131226,3,4/2,1,房地产开,20260430
51,002081,金 螳 螂,10.074626922607422,5.9,3220259776,15601035847.6,15666409806.400002,21.77153968811035,86810369,102415,133442,1,10/8,3,装修装饰,20260430
52,002785,万里石,9.997849464416504,51.16,1175736272,9899205376.679998,11593863596.199999,12.143512725830078,9495296,102800,144245,4,4/2,1,装修建材,20260430
53,002149,西部材料,9.993072509765625,63.51,4684239872,31001725291.739998,31006488414.719997,15.656455993652344,172924837,102924,105727,1,1/1,1,小金属,20260430
54,603131,上海沪工,10.014655113220215,22.52,324263360,7587150594.4,7587150504.32,4.402231216430664,157777101,102926,102926,0,1/1,1,通用设备,20260430
55,300885,海昌新材,19.98324203491211,28.64,750612384,4783389076.0,7107067552.0,16.710683822631836,95036999,103554,103554,0,1/1,1,通用设备,20260430
56,601106,中国一重,9.927360534667969,4.54,716989600,31134334488.58,31134335001.6,2.403855085372925,119186799,103637,103637,0,1/1,1,专用设备,20260430
57,920125,鸿仕达,29.994037628173828,87.2,380802496,1437190200.8,4897152000.0,29.69770050048828,34090142,104918,104918,0,2/2,2,自动化设,20260430
58,000628,高新发展,10.006649017333984,66.18,1172085024,12722349555.300001,23313890400.000004,9.7001371383667,106635370,105145,105145,0,1/1,1,房屋建设,20260430
59,688521,芯原股份,19.998291015625,280.88,11123816448,147719081880.24,147719083846.4,7.777904033660889,347440133,110904,110904,0,1/1,1,半导体,20260430
60,002870,香山股份,10.005558013916016,39.58,406105136,5104299336.4,5227553672.88,8.126664161682129,71283580,111603,131821,1,1/1,1,汽车零部,20260430
61,605376,博迁新材,9.99832820892334,131.58,2125096704,34421328000.0,34421328000.0,6.274119853973389,15552756,112657,134951,1,1/1,1,金属新材,20260430
62,603360,百傲化学,10.0,22.66,931755424,16003027999.64,16003027863.68,6.082862377166748,98172999,130228,130228,0,1/1,1,农化制品,20260430
63,603897,长城科技,10.0,52.36,513851744,10808972257.16,10808972257.16,4.937235355377197,47103056,130312,132000,1,1/1,1,电网设备,20260430
64,688400,凌云光,20.00809097290039,59.32,2198241664,27345139801.56,28427947328.0,8.71253776550293,84246026,131132,131208,1,1/1,1,专用设备,20260430
65,600714,金瑞矿业,10.00497817993164,22.1,1018275904,6368695633.3,6368695611.200001,16.462562561035156,91810030,131315,131315,0,2/2,2,化学原料,20260430
66,603717,天域生物,10.072992324829102,7.54,137973718,2187702649.6,2187702649.6,6.537668704986572,93392702,131927,131927,0,1/1,1,基础建设,20260430
67,002989,中天精装,10.018832206726074,29.21,256360810,5355261823.110001,5889169505.610001,4.905186653137207,70890946,132715,132715,0,3/2,1,装修装饰,20260430
68,000007,全新好,10.0,15.51,172590196,5373409162.44,5373409224.48,3.3466131687164307,40572640,133233,133233,0,1/1,1,一般零售,20260430
69,002158,汉钟精机,10.0,27.61,409595168,14731780010.64,14763733615.84,2.8860538005828857,106058293,133236,133236,0,1/1,1,通用设备,20260430
70,603375,盛景微,9.990277290344238,45.25,270164576,2886087037.25,4555166681.75,9.639569282531738,11891700,134033,135051,1,1/1,1,半导体,20260430
71,605222,起帆电缆,10.012099266052246,36.37,728231024,15017294002.99,15017294039.359999,5.100534439086914,49004938,134113,134113,0,1/1,1,电网设备,20260430
72,000833,粤桂股份,9.986129760742188,31.72,1972915584,14391428264.72,25442048145.28,14.367175102233887,105705345,134142,134142,0,1/1,1,综合Ⅱ,20260430
73,688256,寒武纪,20.000282287597656,1699.96,28465682176,716847921593.2001,716847918193.28,4.2411417961120605,753882961,134438,134438,0,1/1,1,半导体,20260430
74,001268,联合精密,9.99427318572998,38.41,176873803,2590114358.9399996,4145719358.9399996,7.076173782348633,101609814,135000,135000,0,1/1,1,家电零部,20260430
75,002685,华东重机,9.975961685180664,9.15,1220762592,9219133428.9,9220369356.0,13.761076927185059,54057870,141503,141503,0,1/1,1,工程机械,20260430
76,001215,千味央厨,10.0,46.86,434722080,4540810944.12,4552938499.56,10.098331451416016,78359338,142224,142224,0,1/1,1,食品加工,20260430
77,603687,大胜达,9.98719596862793,17.18,1153677440,9449547423.52,9449547560.96,12.640186309814453,152663198,142533,142533,0,1/1,1,包装印刷,20260430
78,600400,红豆股份,9.960159301757812,2.76,508788672,6324186311.5199995,6324186322.559999,8.345661163330078,74116212,143454,143454,0,4/2,1,服装家纺,20260430
79,002929,润建股份,10.00921630859375,59.68,1763523296,12648432804.96,16954078691.84,14.248541831970215,82741247,144015,144015,0,1/1,1,通信服务,20260430
