序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1,300067,安诺其,19.95249366760254,5.05,42937403,4734292589.05,5829591608.8,0.9069444537162781,572928782,092500,092500,0,1/1,1,化学制品,20260421
2,002752,昇兴股份,10.047846794128418,6.9,126940680,6731135051.1,6740737401.6,1.8858733177185059,126140970,092500,092500,0,1/1,1,包装印刷,20260421
3,002565,顺灏股份,10.004928588867188,22.32,2890830048,23657948339.04,23658952872.96,12.226753234863281,341198005,092500,095657,2,1/1,1,包装印刷,20260421
4,600961,株冶集团,10.0,26.73,316870784,20095945398.54,28677887377.920002,1.5767896175384521,534902049,092501,092501,0,4/4,4,工业金属,20260421
5,301022,海泰科,20.014371871948242,33.4,97141559,2244010329.2,3322769808.4,4.329202175140381,57299770,093000,093000,0,1/1,1,汽车零部,20260421
6,000802,北京文化,10.123456954956055,4.46,146701014,3191326262.3,3192915141.7599998,4.602498531341553,129488067,093000,093000,0,1/1,1,影视院线,20260421
7,603017,中衡设计,9.992961883544922,15.63,229705560,4316854279.59,4316854201.440001,5.336605548858643,93006315,093000,093021,1,2/2,2,工程咨询,20260421
8,002081,金 螳 螂,10.049019813537598,4.49,531011312,11874275951.61,11922403395.04,4.520808219909668,259267533,093024,093024,0,3/3,3,装修装饰,20260421
9,600678,四川金顶,10.009267807006836,11.87,352768864,4142511299.9999995,4142511299.9999995,8.549127578735352,80038211,093115,093245,2,1/1,1,水泥,20260421
10,603335,迪生力,10.0,7.37,146251686,3155425702.0,3155425760.96,4.757268905639648,35961915,093421,093421,0,1/1,1,汽车零部,20260421
11,002361,神剑股份,9.985458374023438,22.69,7989455872,18359000506.960003,21578983605.440002,44.16307067871094,274986077,093615,142548,3,5/3,2,塑料,20260421
12,003018,金富科技,9.990728378295898,47.45,599048848,11264036875.0,12337000000.0,5.462005615234375,57609045,093621,094539,2,7/4,3,包装印刷,20260421
